run_accession;study_accession;secondary_study_accession;sample_accession;collection_date;location;latitude;longitude;secondary_sample_accession;experiment_accession;submission_accession;tax_id;scientific_name;instrument_platform;instrument_model;library_name;nominal_length;library_layout;library_strategy;library_source;library_selection;read_count;base_count;center_name;first_public;last_updated;experiment_title;study_title;study_alias;experiment_alias;run_alias;fastq_bytes;fastq_md5;fastq_ftp;fastq_aspera;fastq_galaxy;submitted_bytes;submitted_md5;submitted_ftp;submitted_aspera;submitted_galaxy;submitted_format;sra_bytes;sra_md5;sra_ftp;sra_aspera;sra_galaxy;sample_alias;broker_name;sample_title;nominal_sdev;first_created;bam_ftp;bam_bytes;bam_md5;fastq_file_role;submitted_file_role;sra_file_role;bam_file_role;city
ERR14789259;PRJEB87273;ERP170496;SAMEA117872997;2017-06-15;Australia;-37,81;144,96;ERS23862950;ERX14193116;ERA31253669;41;Stigmatella aurantiaca;ILLUMINA;Illumina MiSeq;AU-ME-133;;PAIRED;WGS;METAGENOMIC;RANDOM;1135586;234728692;"ERASMUS MC;UNIVERSITY MEDICAL CENTER;ERASMUS MC;UNIVERISTY MEDICAL CENTER";2025-03-27;2025-03-27;Illumina MiSeq sequencing;Global urban virome;795c267e-0c9a-4ba1-b051-dc9b742e1c14;ena-EXPERIMENT-TAB-27-03-2025-16:12:33:610-55721;ena-RUN-TAB-27-03-2025-16:12:33:610-55722;"79855022;74610650";"766820fd78693bff7b56b5035198e5eb;0bca3f14ef4c0ce4cec2e105943bfb25";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/059/ERR14789259/ERR14789259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/059/ERR14789259/ERR14789259_2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/059/ERR14789259/ERR14789259_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/059/ERR14789259/ERR14789259_2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/059/ERR14789259/ERR14789259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/059/ERR14789259/ERR14789259_2.fastq.gz";"77611550;72361521";"803caf4bf9958e55997df9f69c7d02a3;dd6b0cb9bfbc9a02be6f40ca710b17b1";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789259/non-capture_batch3_sample5_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789259/non-capture_batch3_sample5_R2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789259/non-capture_batch3_sample5_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789259/non-capture_batch3_sample5_R2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789259/non-capture_batch3_sample5_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789259/non-capture_batch3_sample5_R2.fastq.gz";"FASTQ;FASTQ";;;;;;AU-ME-133;ERASMUS MC, UNIVERISTY MEDICAL CENTER;wastewater metagenome of Melbourne;;2025-03-27;ftp.sra.ebi.ac.uk/vol1/err/ERR147/059/ERR14789259/ERR14789259.bam;156127642;9a4b6a5dae7109f25325f3654240cf10;"GENERATED_FILE;GENERATED_FILE";"SUBMISSION_FILE;SUBMISSION_FILE";;ARCHIVAL_FILE;
ERR14789260;PRJEB87273;ERP170496;SAMEA14509403;2017-05-12;Australia;144.9631608;-37.8142176;ERS12141259;ERX14193117;ERA31253669;527639;wastewater metagenome;ILLUMINA;Illumina MiSeq;AU-ME-254;;PAIRED;WGS;METAGENOMIC;RANDOM;1302020;274966752;"ERASMUS MC;UNIVERSITY MEDICAL CENTER;ERASMUS MC;UNIVERISTY MEDICAL CENTER";2025-03-27;2025-03-27;Illumina MiSeq sequencing;Global urban virome;795c267e-0c9a-4ba1-b051-dc9b742e1c14;ena-EXPERIMENT-TAB-27-03-2025-16:12:33:610-55723;ena-RUN-TAB-27-03-2025-16:12:33:610-55724;"87087102;94129430";"0ce9979d1aea21607fcc35a169fca11f;e455e5566567288af7689b97337af1d4";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/060/ERR14789260/ERR14789260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/060/ERR14789260/ERR14789260_2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/060/ERR14789260/ERR14789260_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/060/ERR14789260/ERR14789260_2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/060/ERR14789260/ERR14789260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/060/ERR14789260/ERR14789260_2.fastq.gz";"91523148;84481416";"9645f59f43e23197ff3271ec52a604cd;2ef210463e87b3252b4b4ae4a2c52649";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789260/non-capture_batch3_sample6_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789260/non-capture_batch3_sample6_R2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789260/non-capture_batch3_sample6_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789260/non-capture_batch3_sample6_R2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789260/non-capture_batch3_sample6_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789260/non-capture_batch3_sample6_R2.fastq.gz";"FASTQ;FASTQ";;;;;;DTU_2017_558_1_MG_AU_ME_255;ERASMUS MC, UNIVERISTY MEDICAL CENTER;;;2025-03-27;ftp.sra.ebi.ac.uk/vol1/err/ERR147/060/ERR14789260/ERR14789260.bam;183259001;26340845378d6e2d8d1e91e6809a0fd1;"GENERATED_FILE;GENERATED_FILE";"SUBMISSION_FILE;SUBMISSION_FILE";;ARCHIVAL_FILE;
ERR14789261;PRJEB87273;ERP170496;SAMEA7428519;2018-06-19;Australia;n.a.;n.a.;ERS5186734;ERX14193118;ERA31253669;527639;wastewater metagenome;ILLUMINA;Illumina MiSeq;AU-ME-454;;PAIRED;WGS;METAGENOMIC;RANDOM;871212;183570724;"ERASMUS MC;UNIVERSITY MEDICAL CENTER;ERASMUS MC;UNIVERISTY MEDICAL CENTER";2025-03-27;2025-03-27;Illumina MiSeq sequencing;Global urban virome;795c267e-0c9a-4ba1-b051-dc9b742e1c14;ena-EXPERIMENT-TAB-27-03-2025-16:12:33:611-55725;ena-RUN-TAB-27-03-2025-16:12:33:611-55726;"63798387;58011350";"f5548b9798ed6dc2840ff0e3761d26c0;bfa4216e26d57a6b4259a99b496c0c04";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/061/ERR14789261/ERR14789261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/061/ERR14789261/ERR14789261_2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/061/ERR14789261/ERR14789261_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/061/ERR14789261/ERR14789261_2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/061/ERR14789261/ERR14789261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/061/ERR14789261/ERR14789261_2.fastq.gz";"62116081;56310927";"40919d5a48886ddeaaae5d689a4b4994;2d719d27b79aaabe9189d57a49c7054d";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789261/non-capture_batch3_sample7_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789261/non-capture_batch3_sample7_R2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789261/non-capture_batch3_sample7_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789261/non-capture_batch3_sample7_R2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789261/non-capture_batch3_sample7_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789261/non-capture_batch3_sample7_R2.fastq.gz";"FASTQ;FASTQ";;;;;;DTU_2018_757_1_MG_AU_ME_454;ERASMUS MC, UNIVERISTY MEDICAL CENTER;;;2025-03-27;ftp.sra.ebi.ac.uk/vol1/err/ERR147/061/ERR14789261/ERR14789261.bam;123255857;9593486bf387d2b97f0144a064c8585f;"GENERATED_FILE;GENERATED_FILE";"SUBMISSION_FILE;SUBMISSION_FILE";;ARCHIVAL_FILE;Melbourne
ERR14789262;PRJEB87273;ERP170496;SAMEA13189670;2017-07-18;Australia;n.a.;n.a.;ERS10793206;ERX14193119;ERA31253669;527639;wastewater metagenome;ILLUMINA;Illumina MiSeq;AU-ME-L1;;PAIRED;WGS;METAGENOMIC;RANDOM;979828;207417141;"ERASMUS MC;UNIVERSITY MEDICAL CENTER;ERASMUS MC;UNIVERISTY MEDICAL CENTER";2025-04-04;2025-04-04;Illumina MiSeq sequencing;Global urban virome;795c267e-0c9a-4ba1-b051-dc9b742e1c14;ena-EXPERIMENT-TAB-27-03-2025-16:12:33:611-55727;ena-RUN-TAB-27-03-2025-16:12:33:611-55728;"71129284;65794153";"516c7fbdd2dc66ec320ad9f319a3e05c;ef307a2e11cae301f311140c125ffb78";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/062/ERR14789262/ERR14789262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/062/ERR14789262/ERR14789262_2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/062/ERR14789262/ERR14789262_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/062/ERR14789262/ERR14789262_2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/062/ERR14789262/ERR14789262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/062/ERR14789262/ERR14789262_2.fastq.gz";"69216985;63875543";"f75723cfffc5f9f822729b36df1565ce;06e551459c924b10b72eea022556294d";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789262/non-capture_batch3_sample8_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789262/non-capture_batch3_sample8_R2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789262/non-capture_batch3_sample8_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789262/non-capture_batch3_sample8_R2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789262/non-capture_batch3_sample8_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789262/non-capture_batch3_sample8_R2.fastq.gz";"FASTQ;FASTQ";;;;;;DTU_2017_1013506_1_MG_AU1707_L1;ERASMUS MC, UNIVERISTY MEDICAL CENTER;;;2025-03-27;ftp.sra.ebi.ac.uk/vol1/err/ERR147/062/ERR14789262/ERR14789262.bam;138486013;af934591c6235371e6033a1197599d6a;"GENERATED_FILE;GENERATED_FILE";"SUBMISSION_FILE;SUBMISSION_FILE";;ARCHIVAL_FILE;
ERR14789263;PRJEB87273;ERP170496;SAMEA13189671;2017-08-16;Australia;n.a.;n.a.;ERS10793207;ERX14193120;ERA31253669;527639;wastewater metagenome;ILLUMINA;Illumina MiSeq;AU-ME-L2;;PAIRED;WGS;METAGENOMIC;RANDOM;162496;28451845;"ERASMUS MC;UNIVERSITY MEDICAL CENTER;ERASMUS MC;UNIVERISTY MEDICAL CENTER";2025-03-27;2025-03-27;Illumina MiSeq sequencing;Global urban virome;795c267e-0c9a-4ba1-b051-dc9b742e1c14;ena-EXPERIMENT-TAB-27-03-2025-16:12:33:611-55729;ena-RUN-TAB-27-03-2025-16:12:33:611-55730;"11400943;9428620";"b8fec764d8a564653425d63bd556048c;ecf558b9d115f52aab521ee60d07103a";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/063/ERR14789263/ERR14789263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/063/ERR14789263/ERR14789263_2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/063/ERR14789263/ERR14789263_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/063/ERR14789263/ERR14789263_2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/063/ERR14789263/ERR14789263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/063/ERR14789263/ERR14789263_2.fastq.gz";"11091233;9113037";"f267063824445642beb1967703ae97f8;9c24481dc010a8dffaaa6a2cd26f7fde";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789263/non-capture_batch3_sample9_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789263/non-capture_batch3_sample9_R2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789263/non-capture_batch3_sample9_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789263/non-capture_batch3_sample9_R2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789263/non-capture_batch3_sample9_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789263/non-capture_batch3_sample9_R2.fastq.gz";"FASTQ;FASTQ";;;;;;DTU_2017_1013507_1_MG_AU1708_L2;ERASMUS MC, UNIVERISTY MEDICAL CENTER;;;2025-03-27;ftp.sra.ebi.ac.uk/vol1/err/ERR147/063/ERR14789263/ERR14789263.bam;21223832;2a5e05c6c5ceaf303c65ddfd80786b3b;"GENERATED_FILE;GENERATED_FILE";"SUBMISSION_FILE;SUBMISSION_FILE";;ARCHIVAL_FILE;
ERR14789264;PRJEB87273;ERP170496;SAMEA13189686;2017-09-27;Australia;n.a.;n.a.;ERS10793222;ERX14193121;ERA31253669;527639;wastewater metagenome;ILLUMINA;Illumina MiSeq;AU-ME-L20;;PAIRED;WGS;METAGENOMIC;RANDOM;466424;95684870;"ERASMUS MC;UNIVERSITY MEDICAL CENTER;ERASMUS MC;UNIVERISTY MEDICAL CENTER";2025-03-27;2025-03-27;Illumina MiSeq sequencing;Global urban virome;795c267e-0c9a-4ba1-b051-dc9b742e1c14;ena-EXPERIMENT-TAB-27-03-2025-16:12:33:612-55731;ena-RUN-TAB-27-03-2025-16:12:33:612-55732;"33389639;30634307";"047addea574ce9f542f84c1853ed28f2;111c00ec9b7b62b45e66e5bf4e1f7e29";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/064/ERR14789264/ERR14789264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/064/ERR14789264/ERR14789264_2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/064/ERR14789264/ERR14789264_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/064/ERR14789264/ERR14789264_2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/064/ERR14789264/ERR14789264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/064/ERR14789264/ERR14789264_2.fastq.gz";"32515683;29746388";"9066c52cd1540f7db9031e392eebe59f;463e4ba211491e70c267835561d6673a";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789264/non-capture_batch3_sample10_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789264/non-capture_batch3_sample10_R2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789264/non-capture_batch3_sample10_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789264/non-capture_batch3_sample10_R2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789264/non-capture_batch3_sample10_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789264/non-capture_batch3_sample10_R2.fastq.gz";"FASTQ;FASTQ";;;;;;DTU_2017_1013522_1_MG_AU1709_L20;ERASMUS MC, UNIVERISTY MEDICAL CENTER;;;2025-03-27;ftp.sra.ebi.ac.uk/vol1/err/ERR147/064/ERR14789264/ERR14789264.bam;64793528;e8407f490d2a3e3caca11b12e436fa64;"GENERATED_FILE;GENERATED_FILE";"SUBMISSION_FILE;SUBMISSION_FILE";;ARCHIVAL_FILE;
ERR14789265;PRJEB87273;ERP170496;SAMEA13189687;2017-10-16;Australia;n.a.;n.a.;ERS10793223;ERX14193122;ERA31253669;527639;wastewater metagenome;ILLUMINA;Illumina MiSeq;AU-ME-L21;;PAIRED;WGS;METAGENOMIC;RANDOM;592568;124051789;"ERASMUS MC;UNIVERSITY MEDICAL CENTER;ERASMUS MC;UNIVERISTY MEDICAL CENTER";2025-03-27;2025-03-27;Illumina MiSeq sequencing;Global urban virome;795c267e-0c9a-4ba1-b051-dc9b742e1c14;ena-EXPERIMENT-TAB-27-03-2025-16:12:33:612-55733;ena-RUN-TAB-27-03-2025-16:12:33:612-55734;"39327159;42613578";"d97e922b5222ac0e5568baca1809695d;ad976db7b14dd40c7618fef258730a99";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/065/ERR14789265/ERR14789265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/065/ERR14789265/ERR14789265_2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/065/ERR14789265/ERR14789265_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/065/ERR14789265/ERR14789265_2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/065/ERR14789265/ERR14789265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/065/ERR14789265/ERR14789265_2.fastq.gz";"41497719;38197374";"5f02968c8d5a66bc4aea0478ac8ed8f0;294fcfc735ca3da17fe4439ba622c890";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789265/non-capture_batch3_sample11_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789265/non-capture_batch3_sample11_R2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789265/non-capture_batch3_sample11_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789265/non-capture_batch3_sample11_R2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789265/non-capture_batch3_sample11_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789265/non-capture_batch3_sample11_R2.fastq.gz";"FASTQ;FASTQ";;;;;;DTU_2017_1013523_1_MG_AU1710_L21;ERASMUS MC, UNIVERISTY MEDICAL CENTER;;;2025-03-27;ftp.sra.ebi.ac.uk/vol1/err/ERR147/065/ERR14789265/ERR14789265.bam;82915397;76c804cad8d03f1ad6f94a030a5e4391;"GENERATED_FILE;GENERATED_FILE";"SUBMISSION_FILE;SUBMISSION_FILE";;ARCHIVAL_FILE;
ERR14789266;PRJEB87273;ERP170496;SAMEA13189709;2017-12-21;Australia;n.a.;n.a.;ERS10793245;ERX14193123;ERA31253669;527639;wastewater metagenome;ILLUMINA;Illumina MiSeq;AU-ME-L43;;PAIRED;WGS;METAGENOMIC;RANDOM;375016;77910892;"ERASMUS MC;UNIVERSITY MEDICAL CENTER;ERASMUS MC;UNIVERISTY MEDICAL CENTER";2025-03-27;2025-03-27;Illumina MiSeq sequencing;Global urban virome;795c267e-0c9a-4ba1-b051-dc9b742e1c14;ena-EXPERIMENT-TAB-27-03-2025-16:12:33:612-55735;ena-RUN-TAB-27-03-2025-16:12:33:612-55736;"24779203;26443242";"b62439ed311d51bd9bf7f326f735fcc7;11f0863f0f3f40b8f173a6350890b623";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/066/ERR14789266/ERR14789266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/066/ERR14789266/ERR14789266_2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/066/ERR14789266/ERR14789266_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/066/ERR14789266/ERR14789266_2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/066/ERR14789266/ERR14789266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/066/ERR14789266/ERR14789266_2.fastq.gz";"25746339;24070630";"90ce55b8747b47fd1b7341baca1ba4fb;7bd49ca1cea2f5461fc4514283e7108c";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789266/non-capture_batch3_sample12_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789266/non-capture_batch3_sample12_R2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789266/non-capture_batch3_sample12_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789266/non-capture_batch3_sample12_R2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789266/non-capture_batch3_sample12_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789266/non-capture_batch3_sample12_R2.fastq.gz";"FASTQ;FASTQ";;;;;;DTU_2017_1013545_1_MG_AU1712_L43;ERASMUS MC, UNIVERISTY MEDICAL CENTER;;;2025-03-27;ftp.sra.ebi.ac.uk/vol1/err/ERR147/066/ERR14789266/ERR14789266.bam;51824682;7d3fdb2750668011e0bc227414579a46;"GENERATED_FILE;GENERATED_FILE";"SUBMISSION_FILE;SUBMISSION_FILE";;ARCHIVAL_FILE;
ERR14789267;PRJEB87273;ERP170496;SAMEA13189710;2018-01-23;Australia;n.a.;n.a.;ERS10793246;ERX14193124;ERA31253669;527639;wastewater metagenome;ILLUMINA;Illumina MiSeq;AU-ME-L44;;PAIRED;WGS;METAGENOMIC;RANDOM;480364;99574256;"ERASMUS MC;UNIVERSITY MEDICAL CENTER;ERASMUS MC;UNIVERISTY MEDICAL CENTER";2025-03-27;2025-03-27;Illumina MiSeq sequencing;Global urban virome;795c267e-0c9a-4ba1-b051-dc9b742e1c14;ena-EXPERIMENT-TAB-27-03-2025-16:12:33:613-55737;ena-RUN-TAB-27-03-2025-16:12:33:613-55738;"34031569;31561748";"e963cd4772a01dd654afa9ace58444e9;db0f134d5d80d29596283a5fe00e52e0";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/067/ERR14789267/ERR14789267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/067/ERR14789267/ERR14789267_2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/067/ERR14789267/ERR14789267_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/067/ERR14789267/ERR14789267_2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/067/ERR14789267/ERR14789267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/067/ERR14789267/ERR14789267_2.fastq.gz";"33132377;30647277";"b16db874175c4bfc13a227483cf9e56d;7ac9fde59e7ba0569866a11990e57b93";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789267/non-capture_batch3_sample13_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789267/non-capture_batch3_sample13_R2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789267/non-capture_batch3_sample13_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789267/non-capture_batch3_sample13_R2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789267/non-capture_batch3_sample13_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789267/non-capture_batch3_sample13_R2.fastq.gz";"FASTQ;FASTQ";;;;;;DTU_2018_1013546_1_MG_AU1801_L44;ERASMUS MC, UNIVERISTY MEDICAL CENTER;;;2025-03-27;ftp.sra.ebi.ac.uk/vol1/err/ERR147/067/ERR14789267/ERR14789267.bam;66500955;bcef5c8c73ce33a136d8596f6ab646f6;"GENERATED_FILE;GENERATED_FILE";"SUBMISSION_FILE;SUBMISSION_FILE";;ARCHIVAL_FILE;
ERR14789268;PRJEB87273;ERP170496;SAMEA13189711;2018-02-26;Australia;n.a.;n.a.;ERS10793247;ERX14193125;ERA31253669;527639;wastewater metagenome;ILLUMINA;Illumina MiSeq;AU-ME-L45;;PAIRED;WGS;METAGENOMIC;RANDOM;511250;107072981;"ERASMUS MC;UNIVERSITY MEDICAL CENTER;ERASMUS MC;UNIVERISTY MEDICAL CENTER";2025-03-27;2025-03-27;Illumina MiSeq sequencing;Global urban virome;795c267e-0c9a-4ba1-b051-dc9b742e1c14;ena-EXPERIMENT-TAB-27-03-2025-16:12:33:613-55739;ena-RUN-TAB-27-03-2025-16:12:33:613-55740;"36869814;34149559";"66efa87fb268963eadc032a06728357e;e3c5a5a4f5e14bef6c30aeedec9da4b2";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/068/ERR14789268/ERR14789268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/068/ERR14789268/ERR14789268_2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/068/ERR14789268/ERR14789268_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR147/068/ERR14789268/ERR14789268_2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/068/ERR14789268/ERR14789268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/068/ERR14789268/ERR14789268_2.fastq.gz";"35902830;33172321";"26144e7c72e5d326ab38818d6248ae54;78eab3f979d02d3021ef6d153056758d";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789268/non-capture_batch3_sample14_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789268/non-capture_batch3_sample14_R2.fastq.gz";"fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789268/non-capture_batch3_sample14_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14789268/non-capture_batch3_sample14_R2.fastq.gz";"ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789268/non-capture_batch3_sample14_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789268/non-capture_batch3_sample14_R2.fastq.gz";"FASTQ;FASTQ";;;;;;DTU_2018_1013547_1_MG_AU1802_L45;ERASMUS MC, UNIVERISTY MEDICAL CENTER;;;2025-03-27;ftp.sra.ebi.ac.uk/vol1/err/ERR147/068/ERR14789268/ERR14789268.bam;71981372;92643f86fdaf33a4a224449f4cd2935b;"GENERATED_FILE;GENERATED_FILE";"SUBMISSION_FILE;SUBMISSION_FILE";;ARCHIVAL_FILE;
