run_accession	sample_accession	country	collection_date	sample_alias	fastq_ftp	scientific_name	city
ERR14789259	SAMEA117872997	Australia	2017-06-15	AU-ME-133	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/059/ERR14789259/ERR14789259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/059/ERR14789259/ERR14789259_2.fastq.gz	Stigmatella aurantiaca	Melbourne
ERR14789377	SAMEA117872998	Ecuador	2017-06-14	EC-QU-96	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/077/ERR14789377/ERR14789377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/077/ERR14789377/ERR14789377_2.fastq.gz	Stigmatella aurantiaca	Quito
ERR14789373	SAMEA117872999	Ecuador	2018-09-26	EC-1809	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/073/ERR14789373/ERR14789373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/073/ERR14789373/ERR14789373_2.fastq.gz	Stigmatella aurantiaca	Quito
ERR14789374	SAMEA117873000	Ecuador	2018-10-26	EC-1810	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/074/ERR14789374/ERR14789374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/074/ERR14789374/ERR14789374_2.fastq.gz	Stigmatella aurantiaca	Quito
ERR14789375	SAMEA117873001	Ecuador	2018-11-16	EC-1811	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/075/ERR14789375/ERR14789375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/075/ERR14789375/ERR14789375_2.fastq.gz	Stigmatella aurantiaca	Quito
ERR14789376	SAMEA117873002	Ecuador	2018-12-28	EC-1812	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/076/ERR14789376/ERR14789376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/076/ERR14789376/ERR14789376_2.fastq.gz	Stigmatella aurantiaca	Quito
ERR14789353	SAMEA117873003	Canada	2017-06-22	CA-RE-136	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/053/ERR14789353/ERR14789353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/053/ERR14789353/ERR14789353_2.fastq.gz	Stigmatella aurantiaca	Regina
ERR14789322	SAMEA117873005	Denmark	2017-06-11	RD-265	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/022/ERR14789322/ERR14789322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/022/ERR14789322/ERR14789322_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789323	SAMEA117873006	Denmark	2017-07-01	RD-271	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/023/ERR14789323/ERR14789323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/023/ERR14789323/ERR14789323_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789324	SAMEA117873007	Denmark	2017-08-09	RD-287	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/024/ERR14789324/ERR14789324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/024/ERR14789324/ERR14789324_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789325	SAMEA117873008	Denmark	2017-09-13	RD-297	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/025/ERR14789325/ERR14789325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/025/ERR14789325/ERR14789325_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789326	SAMEA117873009	Denmark	2017-10-01	RD-304	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/026/ERR14789326/ERR14789326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/026/ERR14789326/ERR14789326_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789327	SAMEA117873010	Denmark	2017-11-01	RD-317	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/027/ERR14789327/ERR14789327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/027/ERR14789327/ERR14789327_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789328	SAMEA117873011	Denmark	2018-03-01	RD-370	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/028/ERR14789328/ERR14789328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/028/ERR14789328/ERR14789328_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789329	SAMEA117873012	Denmark	2018-04-04	RD-387	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/029/ERR14789329/ERR14789329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/029/ERR14789329/ERR14789329_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789330	SAMEA117873013	Denmark	2018-05-04	RD-398	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/030/ERR14789330/ERR14789330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/030/ERR14789330/ERR14789330_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789331	SAMEA117873014	Denmark	2018-09-05	RD-443	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/031/ERR14789331/ERR14789331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/031/ERR14789331/ERR14789331_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789332	SAMEA117873015	Denmark	2018-10-04	RD-452	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/032/ERR14789332/ERR14789332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/032/ERR14789332/ERR14789332_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789333	SAMEA117873016	Denmark	2018-11-02	RD-462	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/033/ERR14789333/ERR14789333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/033/ERR14789333/ERR14789333_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14789292	SAMEA117873019	Cameroon	2018-02-21	CM1802	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/092/ERR14789292/ERR14789292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/092/ERR14789292/ERR14789292_2.fastq.gz	Stigmatella aurantiaca	Yaounde
ERR14789295	SAMEA117873020	Cameroon	2018-05-22	CM1805	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/095/ERR14789295/ERR14789295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/095/ERR14789295/ERR14789295_2.fastq.gz	Stigmatella aurantiaca	Yaounde
ERR14789262	SAMEA13189670	Australia	2017-07-18	DTU_2017_1013506_1_MG_AU1707_L1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/062/ERR14789262/ERR14789262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/062/ERR14789262/ERR14789262_2.fastq.gz	wastewater metagenome	Melbourne
ERR14789263	SAMEA13189671	Australia	2017-08-16	DTU_2017_1013507_1_MG_AU1708_L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/063/ERR14789263/ERR14789263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/063/ERR14789263/ERR14789263_2.fastq.gz	wastewater metagenome	Melbourne
ERR14789311	SAMEA13189676	Malaysia	2017-07-18	DTU_2017_1013512_1_MG_MY1707_L8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/011/ERR14789311/ERR14789311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/011/ERR14789311/ERR14789311_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14789312	SAMEA13189677	Malaysia	2017-08-15	DTU_2017_1013513_1_MG_MY1708_L9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/012/ERR14789312/ERR14789312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/012/ERR14789312/ERR14789312_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14789313	SAMEA13189678	Malaysia	2017-09-12	DTU_2017_1013514_1_MG_MY1709_L10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/013/ERR14789313/ERR14789313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/013/ERR14789313/ERR14789313_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14789314	SAMEA13189679	Malaysia	2017-10-10	DTU_2017_1013515_1_MG_MY1710_L11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/014/ERR14789314/ERR14789314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/014/ERR14789314/ERR14789314_2.fastq.gz	wastewater metagenome	Kuala Lumpur
