time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),relative_humidity_2m_mean (%)
2017-01-01,24.1,30.2,20.8,0.00,75
2017-01-02,24.3,30.5,20.8,0.10,75
2017-01-03,24.5,31.1,20.2,0.00,65
2017-01-04,24.1,30.0,20.3,0.00,76
2017-01-05,24.2,29.9,20.6,0.00,72
2017-01-06,24.4,30.3,20.5,0.00,71
2017-01-07,24.4,30.5,20.9,0.10,73
2017-01-08,24.5,29.9,20.8,0.90,75
2017-01-09,24.5,31.3,20.1,0.00,69
2017-01-10,23.8,29.6,20.0,3.10,76
2017-01-11,23.1,28.0,20.4,1.90,81
2017-01-12,23.0,28.2,20.7,1.60,82
2017-01-13,24.0,29.5,20.0,0.10,76
2017-01-14,24.8,31.0,20.6,0.10,75
2017-01-15,24.6,30.2,21.2,0.50,75
2017-01-16,24.2,29.8,21.0,0.80,79
2017-01-17,25.2,31.9,20.9,0.00,73
2017-01-18,25.0,31.9,21.6,0.10,75
2017-01-19,24.5,31.0,20.8,0.20,76
2017-01-20,24.3,29.8,21.3,3.50,81
2017-01-21,24.7,31.0,21.7,0.50,79
2017-01-22,23.4,26.2,20.9,12.00,87
2017-01-23,22.9,26.6,20.4,4.60,85
2017-01-24,23.5,28.9,19.8,0.00,79
2017-01-25,22.9,27.1,20.2,5.60,86
2017-01-26,23.6,27.9,20.7,3.40,83
2017-01-27,24.5,31.0,20.2,0.00,76
2017-01-28,24.4,30.8,21.0,0.00,76
2017-01-29,24.3,30.4,20.9,0.00,74
2017-01-30,23.9,29.1,21.0,0.70,81
2017-01-31,22.6,27.2,20.4,11.80,86
2017-02-01,24.4,30.3,20.5,0.00,74
2017-02-02,24.5,30.8,20.4,0.00,72
2017-02-03,24.8,31.1,20.5,0.00,71
2017-02-04,24.8,30.6,21.0,0.20,73
2017-02-05,24.6,32.0,21.3,0.50,79
2017-02-06,24.7,30.4,21.2,0.00,75
2017-02-07,24.8,31.0,21.0,0.00,72
2017-02-08,24.6,30.5,20.5,0.10,75
2017-02-09,25.2,31.8,21.0,0.10,73
2017-02-10,25.6,32.2,21.5,0.00,69
2017-02-11,24.8,32.0,20.2,0.00,72
2017-02-12,25.5,32.5,21.0,0.00,67
2017-02-13,25.9,33.1,21.3,0.00,71
2017-02-14,26.0,33.2,20.9,0.00,67
2017-02-15,25.5,32.3,21.2,0.50,70
2017-02-16,23.7,29.6,20.6,1.30,80
2017-02-17,23.0,28.1,20.3,3.50,80
2017-02-18,24.5,31.3,19.7,0.00,65
2017-02-19,23.8,30.3,20.4,2.20,79
2017-02-20,24.7,32.5,20.3,0.30,73
2017-02-21,25.2,32.0,20.9,0.00,68
2017-02-22,25.8,33.2,20.4,0.00,67
2017-02-23,25.6,32.5,21.1,0.00,70
2017-02-24,25.7,32.5,21.8,0.00,67
2017-02-25,25.6,31.9,21.8,0.40,66
2017-02-26,24.1,29.3,21.2,2.40,80
2017-02-27,24.9,31.2,20.9,0.10,75
2017-02-28,25.6,33.2,21.5,0.00,71
2017-03-01,25.5,32.2,21.5,0.00,71
2017-03-02,25.9,32.8,21.4,0.30,70
2017-03-03,25.6,32.3,21.8,0.70,73
2017-03-04,26.1,33.5,22.4,0.50,72
2017-03-05,24.6,31.2,21.5,3.40,82
2017-03-06,23.8,27.0,21.3,14.50,85
2017-03-07,24.7,31.2,21.5,0.10,78
2017-03-08,25.4,31.9,21.5,0.00,73
2017-03-09,24.5,28.8,22.2,8.70,81
2017-03-10,24.6,30.8,21.6,0.70,78
2017-03-11,23.2,26.1,21.0,17.60,87
2017-03-12,24.0,30.9,20.0,0.70,79
2017-03-13,24.0,29.7,20.4,2.60,82
2017-03-14,23.6,29.6,21.0,17.90,87
2017-03-15,24.9,31.2,21.0,0.00,74
2017-03-16,25.4,32.6,21.0,0.00,71
2017-03-17,24.7,30.5,21.0,0.80,77
2017-03-18,25.4,32.2,21.4,0.50,77
2017-03-19,24.6,29.5,21.1,0.90,81
2017-03-20,25.2,32.2,21.3,0.30,76
2017-03-21,23.6,28.4,21.5,6.70,84
2017-03-22,22.8,26.0,20.8,3.70,84
2017-03-23,24.0,29.6,20.4,0.30,75
2017-03-24,24.2,32.2,20.0,0.60,79
2017-03-25,25.4,31.5,21.6,0.00,78
2017-03-26,24.2,29.0,21.6,8.10,86
2017-03-27,24.5,28.6,21.5,1.40,85
2017-03-28,23.4,26.8,20.6,1.60,84
2017-03-29,25.1,31.6,19.9,0.00,74
2017-03-30,23.8,30.4,20.9,9.10,87
2017-03-31,24.0,29.8,20.6,10.40,86
2017-04-01,23.7,28.4,20.5,0.40,85
2017-04-02,23.9,29.0,20.8,16.00,86
2017-04-03,23.8,28.8,20.1,3.20,81
2017-04-04,24.0,31.1,20.1,5.10,80
2017-04-05,23.1,28.0,21.3,12.50,91
2017-04-06,23.3,27.0,20.6,0.70,85
2017-04-07,23.5,29.8,19.0,1.90,82
2017-04-08,24.1,29.2,21.2,6.00,86
2017-04-09,22.9,27.2,20.8,12.20,91
2017-04-10,24.4,29.4,21.6,0.90,84
2017-04-11,23.9,30.0,20.8,1.90,84
2017-04-12,24.3,30.1,21.6,1.30,84
2017-04-13,22.2,24.5,20.5,9.80,92
2017-04-14,23.5,28.7,19.6,2.60,84
2017-04-15,23.4,29.0,20.2,11.00,87
2017-04-16,24.2,30.2,20.4,0.00,79
2017-04-17,23.7,27.2,21.4,7.40,89
2017-04-18,23.7,28.4,21.2,3.60,90
2017-04-19,25.2,31.0,20.4,0.10,76
2017-04-20,23.6,29.0,21.4,10.00,89
2017-04-21,22.8,27.9,21.0,7.90,93
2017-04-22,23.6,29.4,20.7,10.10,88
2017-04-23,23.0,27.8,20.3,4.00,91
2017-04-24,22.9,28.3,20.4,13.10,89
2017-04-25,23.4,28.1,20.9,0.20,86
2017-04-26,23.6,29.9,19.3,3.10,85
2017-04-27,23.6,28.5,20.6,6.10,88
2017-04-28,22.7,27.3,19.8,8.60,89
2017-04-29,24.1,30.1,19.9,0.40,84
2017-04-30,23.5,27.6,21.1,10.20,89
2017-05-01,22.7,28.0,20.6,26.30,92
2017-05-02,23.4,29.2,20.1,9.60,90
2017-05-03,22.9,27.0,20.5,1.00,89
2017-05-04,22.8,27.3,20.3,4.10,88
2017-05-05,23.6,29.1,20.4,1.70,84
2017-05-06,22.6,25.7,21.0,12.90,92
2017-05-07,24.0,30.5,19.3,1.20,81
2017-05-08,23.5,28.8,19.8,6.70,87
2017-05-09,22.6,25.9,20.4,13.80,92
2017-05-10,22.9,28.3,20.2,4.20,90
2017-05-11,22.9,28.2,20.5,6.40,91
