time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),relative_humidity_2m_mean (%)
2017-01-01,5.5,7.3,2.2,1.70,91
2017-01-02,0.9,3.0,-1.1,0.00,79
2017-01-03,3.2,6.7,-0.5,3.60,86
2017-01-04,1.1,3.4,-3.2,0.10,66
2017-01-05,-5.2,-3.3,-6.3,0.00,51
2017-01-06,-5.4,-3.2,-8.9,0.00,62
2017-01-07,-0.2,3.3,-3.0,0.30,82
2017-01-08,-0.9,0.2,-2.5,0.00,92
2017-01-09,2.1,3.2,0.6,0.10,90
2017-01-10,1.9,2.5,1.1,0.10,83
2017-01-11,2.8,4.1,1.6,3.00,88
2017-01-12,3.0,4.1,1.4,0.00,78
2017-01-13,0.7,2.0,-0.9,0.30,91
2017-01-14,0.3,2.4,-0.8,0.20,89
2017-01-15,-0.6,1.0,-2.0,0.10,84
2017-01-16,-1.4,0.9,-3.2,0.00,79
2017-01-17,-1.2,0.9,-4.2,0.00,82
2017-01-18,2.1,3.2,1.5,0.80,86
2017-01-19,4.6,5.7,3.8,0.00,95
2017-01-20,4.8,6.7,3.5,0.00,94
2017-01-21,3.3,4.5,1.9,0.00,98
2017-01-22,2.7,3.5,0.9,0.00,95
2017-01-23,1.2,3.5,-0.2,0.00,91
2017-01-24,2.7,4.4,0.5,0.00,92
2017-01-25,0.4,2.3,-0.9,0.00,90
2017-01-26,0.4,2.2,-1.0,0.00,90
2017-01-27,1.4,2.9,-0.6,0.00,86
2017-01-28,1.5,2.9,0.2,0.00,85
2017-01-29,2.1,4.4,-0.4,1.10,89
2017-01-30,2.7,3.8,1.8,0.30,94
2017-01-31,2.3,3.0,0.4,0.00,88
2017-02-01,1.6,2.9,0.6,0.00,85
2017-02-02,0.9,2.2,0.4,0.00,87
2017-02-03,2.2,2.9,1.0,0.10,92
2017-02-04,2.7,3.8,2.2,1.40,96
2017-02-05,2.0,2.5,1.0,1.90,92
2017-02-06,0.7,2.2,-1.7,0.60,78
2017-02-07,-1.4,-0.3,-2.0,0.00,73
2017-02-08,-1.8,-1.3,-3.2,0.00,72
2017-02-09,-3.0,-2.4,-3.8,0.00,74
2017-02-10,-1.1,-0.1,-2.5,0.00,83
2017-02-11,-0.8,0.1,-1.5,0.00,79
2017-02-12,-0.6,-0.1,-1.0,0.00,81
2017-02-13,-2.3,-0.8,-4.7,0.00,82
2017-02-14,-0.7,4.0,-5.2,0.00,83
2017-02-15,0.9,3.3,-1.6,0.00,85
2017-02-16,3.1,6.3,-2.2,0.00,91
2017-02-17,3.8,5.9,2.8,0.00,96
2017-02-18,2.8,4.8,1.4,0.00,94
2017-02-19,4.6,6.1,2.8,4.90,96
2017-02-20,6.2,7.8,4.3,3.10,95
2017-02-21,5.5,7.3,2.8,0.00,79
2017-02-22,5.7,7.5,3.2,8.30,78
2017-02-23,3.7,5.8,1.0,4.60,82
2017-02-24,0.8,3.2,-0.6,1.00,75
2017-02-25,1.6,4.4,-1.2,5.70,87
2017-02-26,6.0,6.6,4.8,1.70,95
2017-02-27,6.6,7.3,6.0,0.60,87
2017-02-28,5.1,6.3,3.2,2.20,80
2017-03-01,3.7,6.1,1.6,0.90,84
2017-03-02,3.3,5.2,1.8,3.20,89
2017-03-03,4.3,6.7,2.0,0.90,83
2017-03-04,4.7,7.7,1.4,0.90,83
2017-03-05,3.8,4.9,2.2,3.10,92
2017-03-06,1.4,2.6,0.3,0.00,78
2017-03-07,-0.0,1.0,-0.9,0.00,65
2017-03-08,1.9,4.7,-0.8,2.10,78
2017-03-09,4.3,5.9,2.8,0.30,93
2017-03-10,4.3,7.3,0.4,0.10,81
2017-03-11,3.1,6.6,0.9,0.00,89
2017-03-12,2.1,3.9,0.8,0.00,82
2017-03-13,3.1,4.4,1.0,0.30,84
2017-03-14,5.9,9.4,1.8,0.00,90
2017-03-15,6.8,9.1,4.7,0.00,69
2017-03-16,7.6,10.9,4.6,0.00,82
2017-03-17,5.8,9.2,3.0,1.70,81
2017-03-18,3.5,5.4,1.9,8.70,84
2017-03-19,2.1,3.7,0.1,4.60,88
2017-03-20,5.8,8.1,3.5,9.20,93
2017-03-21,6.0,8.4,3.9,1.30,75
2017-03-22,5.5,8.6,2.5,0.80,75
2017-03-23,3.6,9.0,-0.5,0.00,86
2017-03-24,4.5,9.4,-0.4,0.00,68
2017-03-25,5.9,9.4,3.0,0.00,74
2017-03-26,5.8,10.2,0.6,0.00,86
2017-03-27,6.6,9.9,3.8,0.00,92
2017-03-28,5.2,7.2,2.3,0.00,95
2017-03-29,5.0,7.3,2.5,2.70,90
2017-03-30,7.0,11.4,2.8,4.90,93
2017-03-31,9.9,13.1,7.9,0.10,88
2017-04-01,10.4,14.8,4.8,0.00,88
2017-04-02,9.3,13.3,5.8,2.00,89
2017-04-03,7.0,10.2,2.4,0.00,89
2017-04-04,5.5,8.1,2.0,0.00,90
2017-04-05,7.5,10.1,5.4,0.80,72
2017-04-06,7.8,10.1,4.9,0.00,68
2017-04-07,9.5,12.3,6.8,1.00,83
2017-04-08,8.7,10.7,6.8,0.00,81
2017-04-09,9.0,13.2,4.8,0.00,78
2017-04-10,9.0,11.1,5.4,0.80,70
2017-04-11,6.6,9.1,4.3,3.30,62
2017-04-12,7.6,9.8,6.0,3.30,86
2017-04-13,7.4,9.6,5.4,1.50,78
2017-04-14,6.7,9.8,3.6,0.70,75
2017-04-15,4.4,7.3,1.7,11.90,90
2017-04-16,2.9,4.8,0.7,1.40,73
2017-04-17,4.0,6.1,1.4,2.40,68
2017-04-18,2.4,5.3,0.2,1.50,67
2017-04-19,2.6,6.0,-1.8,0.00,69
2017-04-20,5.6,7.8,1.8,0.00,69
2017-04-21,8.5,11.7,4.8,1.80,81
2017-04-22,6.2,9.4,3.7,0.50,59
2017-04-23,5.8,7.9,3.8,0.70,64
2017-04-24,5.6,8.4,2.8,4.60,73
2017-04-25,4.3,6.9,1.4,0.80,67
2017-04-26,4.9,8.4,1.4,1.80,80
2017-04-27,5.4,7.8,1.9,0.90,72
2017-04-28,6.5,8.4,4.6,5.90,82
2017-04-29,5.7,7.8,4.4,12.80,86
2017-04-30,6.1,8.1,2.0,0.00,72
2017-05-01,7.1,10.6,4.8,0.00,62
2017-05-02,8.5,11.8,4.9,0.00,58
2017-05-03,9.4,12.8,7.2,0.00,56
2017-05-04,9.3,13.1,6.0,0.00,55
2017-05-05,9.0,12.4,7.1,2.50,65
2017-05-06,10.1,13.9,5.8,0.00,73
2017-05-07,8.6,10.1,7.2,4.50,77
2017-05-08,7.6,9.4,4.8,0.80,66
2017-05-09,6.8,9.9,3.0,6.80,62
2017-05-10,5.6,7.1,4.8,5.70,86
2017-05-11,7.3,8.9,5.8,2.40,85
2017-05-12,8.7,12.1,5.4,0.00,73
2017-05-13,11.5,17.0,7.8,0.90,71
2017-05-14,12.4,16.4,9.1,0.80,82
2017-05-15,12.5,15.5,9.2,0.20,83
2017-05-16,10.7,11.9,9.9,1.60,88
2017-05-17,12.6,14.6,10.6,1.20,92
2017-05-18,14.2,17.1,11.4,0.00,79
2017-05-19,15.2,17.9,11.6,0.00,91
2017-05-20,14.0,15.7,11.0,0.00,77
2017-05-21,13.8,17.5,9.4,0.00,69
2017-05-22,13.1,16.9,9.4,0.00,74
2017-05-23,13.7,15.9,10.4,0.40,82
2017-05-24,13.0,15.9,10.9,0.50,76
2017-05-25,14.4,17.7,9.4,0.00,71
2017-05-26,16.5,21.0,12.4,0.00,73
2017-05-27,15.5,18.9,9.6,0.00,78
2017-05-28,17.8,22.4,15.1,0.20,75
2017-05-29,15.2,17.1,13.9,0.00,83
2017-05-30,15.0,18.9,13.2,7.00,91
2017-05-31,13.8,15.7,11.3,0.10,71
2017-06-01,13.6,16.5,10.6,0.00,64
2017-06-02,14.2,18.1,9.9,0.00,71
2017-06-03,14.0,15.5,11.7,0.30,73
2017-06-04,13.9,15.5,11.8,11.10,85
2017-06-05,14.3,17.4,10.7,0.20,73
2017-06-06,15.8,19.7,13.3,8.50,78
2017-06-07,13.1,14.6,11.7,17.80,82
2017-06-08,14.4,16.7,12.0,4.50,74
2017-06-09,15.7,18.9,13.4,8.70,85
2017-06-10,15.3,17.8,12.1,0.40,78
2017-06-11,17.7,21.5,13.6,4.30,81
2017-06-12,15.3,17.1,13.2,4.10,76
2017-06-13,14.7,16.5,12.6,0.00,73
2017-06-14,15.5,18.5,11.6,0.00,74
2017-06-15,15.8,18.9,12.8,0.80,84
2017-06-16,15.4,17.3,14.2,6.20,81
2017-06-17,16.5,20.0,13.1,0.00,76
2017-06-18,19.3,23.5,14.1,0.00,79
2017-06-19,19.5,22.6,15.4,0.00,79
2017-06-20,16.4,18.5,13.0,0.10,65
2017-06-21,15.0,17.8,12.0,0.00,65
2017-06-22,15.0,16.8,12.8,10.10,83
2017-06-23,16.0,17.5,14.6,14.10,91
2017-06-24,16.0,18.6,14.0,4.50,80
2017-06-25,15.1,17.7,12.8,2.00,70
2017-06-26,14.5,16.6,12.2,0.50,65
2017-06-27,14.1,16.5,11.2,0.00,63
2017-06-28,15.3,18.0,12.2,2.70,72
2017-06-29,16.2,17.9,14.9,13.80,83
2017-06-30,15.3,16.0,14.8,13.80,91
2017-07-01,15.3,17.6,14.1,3.30,86
2017-07-02,14.9,17.9,12.6,0.30,75
2017-07-03,14.5,17.1,12.3,11.00,76
2017-07-04,14.6,17.8,11.4,1.20,71
2017-07-05,14.9,18.6,11.8,0.20,69
2017-07-06,14.6,17.8,10.6,0.00,78
2017-07-07,15.6,18.9,13.1,3.20,87
2017-07-08,16.4,18.9,12.2,8.40,83
2017-07-09,15.3,19.0,11.2,0.00,72
