time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),relative_humidity_2m_mean (%)
2017-01-01,26.5,29.9,23.9,7.80,85
2017-01-02,25.2,28.1,23.4,30.60,90
2017-01-03,25.6,29.5,23.7,16.10,86
2017-01-04,26.2,29.5,24.1,5.20,82
2017-01-05,27.2,30.0,24.8,0.10,75
2017-01-06,27.0,30.6,24.9,8.80,79
2017-01-07,27.2,30.3,24.4,2.20,78
2017-01-08,27.2,30.1,23.4,0.40,76
2017-01-09,27.5,31.0,23.9,0.40,79
2017-01-10,27.6,31.0,23.9,0.10,78
2017-01-11,26.8,30.2,23.1,4.30,80
2017-01-12,26.5,30.0,23.6,1.90,82
2017-01-13,26.2,28.7,24.2,5.60,83
2017-01-14,26.2,30.1,23.0,17.80,85
2017-01-15,25.7,29.3,22.6,12.80,86
2017-01-16,25.8,29.3,23.5,4.40,84
2017-01-17,25.7,28.7,23.4,31.10,86
2017-01-18,25.7,29.7,22.6,16.10,86
2017-01-19,26.0,30.3,23.5,39.80,86
2017-01-20,25.5,28.0,23.4,10.50,89
2017-01-21,26.6,30.6,24.2,7.00,79
2017-01-22,26.4,30.2,23.6,4.60,81
2017-01-23,25.0,28.1,23.1,58.40,89
2017-01-24,23.5,24.8,22.0,74.30,88
2017-01-25,25.0,28.5,22.4,6.50,86
2017-01-26,24.9,28.1,22.5,19.00,90
2017-01-27,25.7,29.0,22.8,11.90,84
2017-01-28,25.7,29.9,22.4,5.10,82
2017-01-29,26.1,29.3,23.0,1.40,82
2017-01-30,25.4,29.0,23.2,10.60,86
2017-01-31,25.0,26.6,23.2,5.20,89
2017-02-01,25.1,27.9,23.1,9.00,87
2017-02-02,25.5,28.6,23.0,3.30,85
2017-02-03,26.6,30.9,23.2,1.00,80
2017-02-04,26.3,30.0,23.8,6.90,83
2017-02-05,26.2,30.2,23.7,2.60,84
2017-02-06,25.8,29.0,23.3,0.70,85
2017-02-07,25.7,29.1,23.2,8.70,85
2017-02-08,26.1,29.7,23.1,0.70,83
