time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),relative_humidity_2m_mean (%)
2017-01-01,17.1,21.3,14.8,2.80,75
2017-01-02,16.1,18.2,14.4,0.70,69
2017-01-03,16.4,21.3,12.1,0.00,77
2017-01-04,22.8,28.0,18.0,0.30,68
2017-01-05,23.1,30.2,16.6,0.20,68
2017-01-06,26.0,33.0,18.3,0.00,59
2017-01-07,31.6,36.2,28.0,0.00,28
2017-01-08,21.4,32.9,18.0,0.00,66
2017-01-09,20.3,24.8,17.1,0.00,68
2017-01-10,20.6,27.8,15.8,0.20,66
2017-01-11,18.0,23.2,12.3,0.00,65
2017-01-12,23.0,27.1,17.4,0.50,48
2017-01-13,19.9,29.9,14.8,9.30,62
2017-01-14,17.5,21.5,14.5,0.10,56
2017-01-15,16.7,21.0,11.4,0.00,66
2017-01-16,24.6,31.6,18.6,0.00,44
2017-01-17,24.8,37.2,17.0,0.00,52
2017-01-18,15.9,20.2,10.9,0.00,58
2017-01-19,20.1,24.5,17.0,14.00,64
2017-01-20,16.7,19.0,14.9,0.50,63
2017-01-21,16.8,21.1,12.0,0.00,70
2017-01-22,23.4,29.2,18.0,0.10,58
2017-01-23,26.9,37.1,19.0,1.90,52
2017-01-24,17.2,22.4,12.4,0.00,59
2017-01-25,18.0,21.9,14.6,0.00,62
2017-01-26,18.0,21.4,15.5,0.10,68
2017-01-27,19.7,25.5,14.0,0.00,70
2017-01-28,19.8,30.2,13.1,0.00,70
2017-01-29,22.8,31.6,16.8,0.00,56
2017-01-30,22.0,32.4,15.1,2.80,63
2017-01-31,17.7,21.9,12.8,0.00,61
2017-02-01,17.0,21.4,12.8,0.00,64
2017-02-02,18.3,25.0,13.3,0.00,65
2017-02-03,19.6,26.4,12.9,0.00,68
2017-02-04,25.6,36.3,18.7,1.80,53
2017-02-05,22.1,30.5,16.5,28.30,78
2017-02-06,15.0,17.9,10.9,0.00,70
2017-02-07,20.2,26.5,14.6,0.00,70
2017-02-08,29.4,34.0,25.2,0.00,47
2017-02-09,23.2,34.5,18.6,0.00,71
2017-02-10,21.8,27.4,17.6,0.00,75
2017-02-11,18.3,22.5,14.9,1.20,71
2017-02-12,15.9,19.5,13.6,0.00,56
2017-02-13,16.7,19.5,14.6,2.70,70
2017-02-14,14.8,21.8,8.5,0.00,71
2017-02-15,22.3,30.7,16.6,0.10,59
2017-02-16,18.3,24.6,13.9,0.00,70
2017-02-17,18.6,25.5,13.2,0.00,56
2017-02-18,14.6,19.8,10.7,0.00,55
2017-02-19,13.2,16.8,11.1,5.20,65
2017-02-20,14.7,20.0,8.8,1.10,66
2017-02-21,17.4,23.2,10.6,0.00,54
