name,taxid,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789373,ERR14789374,ERR14789375,ERR14789376,ERR14789377,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382
                  Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,
                Marafivirus,12051,0.22,0.6,0.34,0.48,1.03,0.26,,,,,,,0.3,,
                Sobemovirus,12137,0.77,1.88,1.4,1.63,0.99,0.49,0.66,1.74,3.03,1.06,0.86,,1.3,1.77,0.41
                  Tombusvirus,12141,10.75,16.22,19.7,17.46,21.6,23.79,14.78,19.75,27.83,5.86,5.27,4.95,18.52,21.62,18.55
                Tymovirus,12148,0.62,0.38,0.56,,0.87,0.93,0.35,,0.45,,,,0.68,1.5,
                  Carlavirus,12163,0.25,,0.41,0.52,0.47,0.23,0.24,,,,,,0.37,,
                Potexvirus,12176,0.68,0.64,1.2,0.86,1.79,0.81,1.08,0.64,0.62,,0.42,,1.05,1.72,2.84
                Tobamovirus,12234,30.08,26.23,35.23,18.71,19.62,29.93,30.15,30.65,22.22,24.35,18.64,6.29,39.01,16.52,26.34
                  Comovirus,12258,0.17,0.6,1.09,,0.64,0.28,0.28,,,,,,0.93,,
                  Machlomovirus,39739,,,,,,,,,,,,,0.27,,
                Alphanodavirus,143920,0.25,0.7,0.34,,,,,,0.85,,0.53,,,,
                Cripavirus,144051,19.31,,,,,,,,,,,,,,
              Punavirus,186789,,,,,,,0.38,,,3.74,0.89,,,,0.7
              Lederbergvirus,186794,,,,,,,,,,,,1.09,,,
                Mamastrovirus,249588,0.51,0.58,0.45,0.76,0.25,0.42,0.33,,,,,,1.05,,
                  Mimivirus,315393,0.39,0.86,0.97,1.11,0.82,0.86,0.45,1.21,,,,0.91,0.5,0.78,0.72
                  Enquatrovirus,371730,,,,,0.23,,,,,,,,,,
              Rauchvirus,542959,0.17,,,,,,,,,,,0.46,,0.28,
              Uetakevirus,542960,,,,,,,,,,,,1.08,,,
            Betabaculovirus,558017,,,,,,,,,,1.06,,,,0.28,
                  Salivirus,688449,,0.24,,,,,,0.38,0.45,,1.03,,0.4,,
                Cyclovirus,742914,0.25,0.88,0.24,,0.25,0.56,0.75,,,,0.27,,0.38,,0.29
                  Felixounavirus,1198140,,,,,,,,,,,,1.66,,,
                  Alphanecrovirus,1299309,,0.2,,,,,,,,,,,,,
                  Protoparvovirus,1506574,,,,,,,,,,,0.78,,,,
                  Bocaparvovirus,1507401,,0.52,0.32,0.35,0.25,0.32,0.28,,0.62,,0.31,,0.28,,0.29
                Gemycircularvirus,1542744,0.28,5.2,0.8,0.72,0.59,0.44,0.64,2.17,1.06,2.28,5.62,,1.51,0.53,2.25
                Chivirus,1623283,,,,,0.23,,,,,,,,,,
              Detrevirus,1623287,,,,,,,,,,,,0.39,,,
                  Alphatrevirus,1910951,0.24,0.26,0.39,,0.49,0.3,,,,,,0.36,0.25,,
                  Jerseyvirus,1910991,,,,,,,,,,,,1.32,,,
                  Kagunavirus,1910992,0.84,0.84,1.1,1.11,1.01,1.0,0.71,0.76,0.58,1.48,0.38,2.53,0.81,0.89,0.67
                  Alphacarmovirus,1911599,,,,,,,,,,,,,0.17,,
                  Gammacarmovirus,1911601,2.84,2.6,2.06,2.84,2.14,1.18,3.3,3.9,7.21,,5.84,1.63,3.14,7.01,2.89
              Vequintavirus,1914852,,,,,,,,,,,,0.39,0.25,,
              Obolenskvirus,1915205,,,,,,,,,,,,0.33,,,
                  Gamaleyavirus,1920753,0.33,0.36,0.54,0.35,0.72,0.28,0.4,0.62,0.58,,,0.36,0.4,0.33,0.38
                Webervirus,1920860,0.19,,,,0.21,,,,,,,0.55,0.28,,
                Gemykibivirus,1941236,0.95,5.3,0.99,2.04,1.47,1.14,1.08,5.17,7.0,10.43,8.36,0.81,2.2,4.63,3.4
                Gemykolovirus,1941238,,,,,,,,,,,0.66,,,,0.35
                  Orthonairovirus,1980517,0.17,,,,,,,,,,,,,,
              Mudcatvirus,1982088,0.16,,,0.41,,,,,0.45,,,,,0.28,
              Pepyhexavirus,1982367,,,,,,,,,,,,0.39,,,
                  Johnsonvirus,1982576,,,,0.41,,,,,,,,,,,
                Gemygorvirus,1985366,,0.44,,,,,,,,,1.24,,,,0.46
