time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),relative_humidity_2m_mean (%)
2017-01-01,11.9,17.0,6.2,2.10,83
2017-01-02,12.5,19.0,7.9,0.00,78
2017-01-03,13.0,20.5,7.6,5.20,75
2017-01-04,13.2,19.0,8.9,12.60,82
2017-01-05,12.8,17.8,9.9,28.10,87
2017-01-06,11.6,16.1,8.8,9.10,86
2017-01-07,12.3,19.5,6.8,2.10,74
2017-01-08,12.4,17.8,8.9,24.90,83
2017-01-09,12.6,17.8,10.1,28.90,86
2017-01-10,12.4,17.2,9.4,61.20,89
2017-01-11,12.3,17.0,9.1,4.50,86
2017-01-12,11.9,16.9,7.1,20.80,86
2017-01-13,12.1,18.8,7.6,7.90,81
2017-01-14,12.6,17.4,9.9,16.80,86
2017-01-15,12.2,16.1,9.8,36.30,88
2017-01-16,12.4,19.1,7.6,15.70,83
2017-01-17,12.6,18.8,9.6,25.10,86
2017-01-18,12.3,17.3,8.9,12.50,86
2017-01-19,13.0,18.0,9.8,5.40,82
2017-01-20,11.5,14.2,10.2,34.60,93
2017-01-21,10.6,13.2,9.4,30.00,94
2017-01-22,11.5,18.0,5.1,1.80,76
2017-01-23,11.2,19.1,3.9,1.10,61
2017-01-24,11.7,17.9,6.3,9.80,83
2017-01-25,11.8,18.5,6.6,0.70,80
2017-01-26,11.4,17.6,6.9,2.30,80
2017-01-27,12.4,17.9,8.7,0.00,76
2017-01-28,12.3,18.0,7.4,0.00,75
2017-01-29,13.1,18.1,9.6,0.10,76
2017-01-30,11.8,17.6,7.6,7.50,81
2017-01-31,11.8,16.8,7.6,5.10,84
2017-02-01,12.0,17.8,6.8,0.50,81
2017-02-02,12.3,17.9,7.6,4.70,81
2017-02-03,11.9,17.4,7.2,3.20,84
2017-02-04,12.8,20.3,7.5,0.60,79
2017-02-05,12.9,18.2,7.8,0.00,75
2017-02-06,12.5,19.5,8.0,0.00,70
2017-02-07,12.7,19.5,7.9,0.20,71
2017-02-08,12.7,20.2,6.9,1.40,74
2017-02-09,12.8,19.1,8.8,6.30,80
2017-02-10,13.4,18.8,9.4,15.00,80
2017-02-11,13.0,17.2,11.1,21.30,90
2017-02-12,12.7,17.9,9.9,38.20,87
2017-02-13,12.3,17.2,8.9,30.80,88
2017-02-14,12.1,16.5,9.3,44.90,90
2017-02-15,12.0,17.1,7.9,25.80,83
2017-02-16,12.1,16.9,8.7,38.20,82
2017-02-17,12.2,16.4,9.5,41.30,83
2017-02-18,12.2,18.8,8.4,12.00,80
2017-02-19,12.0,17.0,9.1,19.60,86
2017-02-20,11.9,18.0,7.2,13.60,83
2017-02-21,12.7,17.6,9.2,10.20,81
2017-02-22,12.0,15.4,10.1,23.90,90
2017-02-23,12.1,16.6,9.9,18.30,85
2017-02-24,11.9,17.0,8.7,13.00,85
2017-02-25,12.2,16.0,10.1,14.00,87
2017-02-26,11.3,14.1,9.9,31.10,90
2017-02-27,11.6,17.2,8.8,7.30,83
2017-02-28,11.6,16.1,8.1,27.00,88
2017-03-01,12.0,17.9,7.8,19.60,85
2017-03-02,12.5,17.2,9.1,19.70,84
2017-03-03,12.5,17.4,8.9,6.10,85
2017-03-04,12.2,18.0,7.6,0.90,80
2017-03-05,12.3,18.6,7.4,7.40,79
2017-03-06,12.7,17.2,9.1,9.20,84
2017-03-07,12.7,18.0,9.4,23.20,85
2017-03-08,12.4,17.6,9.9,14.40,86
2017-03-09,12.5,17.4,9.2,5.40,84
2017-03-10,12.1,16.5,8.0,19.00,87
2017-03-11,12.3,17.6,9.4,5.40,85
2017-03-12,12.2,15.9,10.2,6.50,88
2017-03-13,12.1,17.9,8.0,10.50,79
2017-03-14,12.2,16.1,10.4,23.60,88
2017-03-15,11.7,15.2,9.6,31.70,90
2017-03-16,12.1,18.0,8.3,18.60,84
2017-03-17,12.3,16.9,8.6,28.10,85
2017-03-18,12.0,17.6,8.0,15.40,82
2017-03-19,12.6,18.0,9.9,37.90,84
2017-03-20,12.5,17.8,9.4,31.70,84
2017-03-21,12.5,18.7,7.2,11.40,84
2017-03-22,12.3,17.0,8.5,16.90,84
2017-03-23,12.8,17.0,10.2,23.50,83
2017-03-24,12.2,16.2,9.6,28.10,88
2017-03-25,12.8,18.0,9.6,20.70,83
2017-03-26,12.6,15.9,10.8,49.80,89
2017-03-27,12.4,17.1,8.5,26.30,84
2017-03-28,12.5,19.0,6.7,6.10,80
2017-03-29,12.1,16.4,8.5,3.80,84
2017-03-30,12.5,16.8,8.5,19.60,88
2017-03-31,11.2,14.4,8.9,8.20,92
2017-04-01,12.3,18.5,7.8,1.70,77
2017-04-02,12.5,18.5,6.3,0.00,68
2017-04-03,13.2,19.5,9.4,0.90,73
2017-04-04,13.1,20.4,7.1,0.00,74
2017-04-05,13.3,20.1,6.7,1.20,76
2017-04-06,13.6,20.1,7.4,0.00,74
2017-04-07,12.8,18.2,7.8,5.70,80
2017-04-08,12.2,17.7,8.2,16.60,85
2017-04-09,12.7,17.1,10.1,27.90,85
2017-04-10,12.7,18.0,9.9,17.90,87
2017-04-11,12.6,18.4,9.9,6.00,87
2017-04-12,12.5,18.6,7.5,10.70,84
2017-04-13,12.4,18.1,7.2,0.30,79
2017-04-14,12.5,18.5,7.8,0.60,79
2017-04-15,13.2,18.7,7.9,1.60,76
2017-04-16,13.1,18.4,9.4,0.70,73
2017-04-17,12.7,19.1,8.4,9.40,78
2017-04-18,12.3,17.5,8.9,13.30,87
2017-04-19,12.5,16.5,10.2,36.80,88
2017-04-20,12.2,15.1,9.9,23.30,90
2017-04-21,12.9,19.0,8.9,26.60,85
2017-04-22,13.5,19.8,8.2,15.50,73
2017-04-23,12.9,20.3,7.0,4.30,78
2017-04-24,12.6,19.4,8.0,2.30,79
2017-04-25,12.8,18.5,8.3,23.00,82
2017-04-26,13.1,17.9,11.2,26.40,88
2017-04-27,12.8,18.6,9.1,5.50,81
2017-04-28,13.0,19.6,7.8,0.00,76
2017-04-29,13.0,18.6,8.9,1.10,76
2017-04-30,12.9,17.1,10.1,1.10,84
2017-05-01,12.0,17.0,8.8,5.00,84
2017-05-02,12.4,18.3,8.6,3.50,82
2017-05-03,12.1,19.0,6.6,1.70,83
2017-05-04,12.0,18.5,6.6,2.40,81
2017-05-05,12.4,18.4,7.7,25.00,85
2017-05-06,12.0,15.9,10.1,12.00,91
2017-05-07,12.3,16.8,10.1,8.30,91
2017-05-08,12.2,16.0,10.5,11.20,91
2017-05-09,12.1,15.5,9.0,17.10,88
2017-05-10,11.7,13.4,10.4,13.10,94
2017-05-11,11.9,15.1,10.0,5.30,92
2017-05-12,12.6,16.1,10.8,15.90,90
2017-05-13,12.4,16.8,9.8,11.70,87
2017-05-14,11.4,14.2,9.2,8.80,88
2017-05-15,12.7,18.1,9.2,2.20,78
