name,taxid,ERR14789353,ERR14789354,ERR14789355,ERR14789356,ERR14789357,ERR14789358,ERR14789359,ERR14789360,ERR14789361,ERR14789362,ERR14789363,ERR14789364,ERR14789365,ERR14789366,ERR14789367
                  Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,
                  Dependoparvovirus,10803,,0.21,,,,,0.08,0.12,,,,,,,
                Sobemovirus,12137,,,,,,,,,,,,0.18,,,
                  Tombusvirus,12141,0.03,0.16,,,,,0.13,0.16,,,,,,,
                Tymovirus,12148,,0.18,,,,,,0.09,,,,,,,
                  Carlavirus,12163,0.15,0.07,,0.27,,0.06,,,,0.2,0.11,,,,0.12
                Potexvirus,12176,0.53,0.05,,,,,,,,,,,,,
                Tobamovirus,12234,82.89,67.23,57.82,38.11,70.45,74.32,76.61,84.28,28.52,43.8,38.41,71.39,46.9,82.43,54.64
                  Comovirus,12258,0.07,,,,,,0.09,0.08,,,,,,,0.11
                  Nepovirus,12270,0.08,,0.39,,,,,,,,,0.2,0.48,,
                Sapovirus,95341,0.06,,,,,,,,,,,,,,
                Alphanodavirus,143920,0.09,0.24,0.83,,0.19,0.09,,0.14,,0.73,,,0.22,0.1,0.21
                Chlorovirus,181083,,,,,,0.05,,,,,,,,,
              Ceduovirus,186532,,0.09,,,,,,,,0.35,0.1,,,,0.11
              Fromanvirus,186764,0.03,0.07,,0.26,0.18,0.14,0.12,0.06,0.54,,0.12,,,,
              Punavirus,186789,0.05,,,,,,,,,,,,,,
              Lederbergvirus,186794,0.18,,,,,,,,,,,,,,
                Mamastrovirus,249588,0.13,,,,,,,,,0.44,0.43,0.45,,,
                  Mimivirus,315393,,,0.27,,,,,,,0.16,,,,,
              Rauchvirus,542959,0.03,0.35,0.39,1.82,6.58,2.67,2.06,0.74,4.89,3.44,0.47,0.29,0.38,3.02,1.87
              Uetakevirus,542960,0.06,0.13,,,,0.05,0.11,,,,0.15,,,,
            Alphabaculovirus,558016,0.05,0.05,,,,0.05,,,,,,,0.19,,0.14
                  Felixounavirus,1198140,0.03,,,,,,,,,,,,,,
            Muscavirus,1285593,,,,,,,,,,,,,,,0.19
                  Alphanecrovirus,1299309,,0.18,,,,,,,,,0.08,,,,
                  Yuavirus,1299429,,,0.74,,0.25,0.09,,,,,,,0.72,0.09,0.8
            Alphanudivirus,1511853,,,,,0.15,0.13,0.19,,0.46,0.28,0.16,,,0.31,0.2
                  Marseillevirus,1513458,,,,,,0.06,,,,0.24,,,,,
                Gemycircularvirus,1542744,0.04,,0.21,,,,,0.09,,1.82,,0.86,,,
              Charlievirus,1623280,,,0.23,,,,,,,,,,0.25,,
              Cheoctovirus,1623281,,,0.79,,,,,,,,,0.77,,,0.52
              Detrevirus,1623287,,,,,,0.32,0.22,0.16,,0.87,0.37,,,0.48,
              Dhillonvirus,1623289,,0.06,,,0.16,0.09,,,,,,,,0.1,0.11
              Pegunavirus,1623295,,,,,0.29,,,,,,,,,,
              Stanholtvirus,1623297,,,,,0.43,0.32,0.2,0.09,0.42,,,,,0.19,0.12
              Skunavirus,1623305,0.06,,,,,,,,,,,,,,0.16
              Lessievirus,1720323,,0.16,0.31,0.31,0.29,0.16,0.19,0.14,0.58,,0.08,,0.26,0.15,0.22
              Hollowayvirus,1720324,0.11,0.4,1.3,0.25,0.39,0.1,0.19,0.07,,0.28,0.26,,1.49,0.25,0.3
                  Sicinivirus,1755587,0.06,,,,,,,,,,,,,,
                  Alphatrevirus,1910951,0.05,0.08,,0.29,,,,,,0.18,0.16,,0.21,,
                  Gequatrovirus,1910952,,0.13,0.19,,0.16,0.13,0.12,0.11,,,,,0.17,0.09,
                  Jerseyvirus,1910991,0.05,,,,,,,,,,,,,,
                  Kagunavirus,1910992,0.18,0.28,0.5,0.44,0.34,0.28,0.19,0.4,0.92,0.13,0.11,0.22,0.21,0.22,0.44
                  Cornellvirus,1910993,0.21,,,,,,,,,,,,,,
                  Alphacarmovirus,1911599,0.16,,,0.31,,,,,,0.13,0.08,0.29,,0.09,0.12
                  Gammacarmovirus,1911601,0.87,0.24,0.56,1.29,,1.3,0.27,0.71,1.19,0.3,0.26,1.45,,0.32,0.94
              Certrevirus,1914850,,,,,,,,,,,,,0.24,,
              Seunavirus,1914851,0.03,,,,,,,,,,,,,,
              Vequintavirus,1914852,,0.12,0.25,0.44,,,0.08,,0.62,,0.19,,0.33,0.09,0.22
              Mapvirus,1920750,,,,,0.18,0.26,0.18,0.06,,,,,,0.11,
                  Gamaleyavirus,1920753,0.05,0.18,0.39,0.62,,0.09,,0.08,0.62,0.2,0.34,0.31,0.31,,0.14
                  Litunavirus,1920762,,0.06,,,,,,,,,0.13,,,,
                  Drulisvirus,1920774,0.28,0.2,0.35,0.33,,0.11,0.23,0.17,0.73,0.21,,,0.41,0.16,0.43
                Webervirus,1920860,0.11,,,,,,,,,,,,,,
              Nonagvirus,1921117,,0.05,,,,,,,,,,,,,0.12
                  Pakpunavirus,1921407,,,,,,,,,,0.42,,,,,
              Septimatrevirus,1921544,0.1,0.12,0.21,0.22,,0.07,0.13,0.12,,,,,,,0.23
                  Wphvirus,1922327,,,,,,,,,,0.13,,,,,
