name,taxid,ERR14789334,ERR14789335,ERR14789336,ERR14789337,ERR14789338,ERR14789339,ERR14789340,ERR14789341,ERR14789342,ERR14789343,ERR14789344,ERR14789345,ERR14789346,ERR14789347,ERR14789348
                  Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,
                Sobemovirus,12137,,1.01,,,,,,1.2,0.93,,0.25,7.41,,,
                  Tombusvirus,12141,,,,,,,,,,,,0.3,,,
                  Carlavirus,12163,0.13,,,,,,,,,,,,,,
                Potexvirus,12176,0.14,0.71,,0.03,,,0.26,0.38,,0.24,,2.53,,,0.21
                Tobamovirus,12234,22.69,18.71,25.64,0.31,44.43,38.04,11.0,20.06,8.26,22.65,23.73,25.2,0.28,2.08,48.73
              Ceduovirus,186532,0.09,,,,,,,,,0.24,,,,,0.15
              Fromanvirus,186764,,,,,,,,,,,,0.76,,,
              Punavirus,186789,,,,,,,,,,,,0.59,,,
                Mamastrovirus,249588,0.14,,,,,,0.4,,,0.24,,,,,
                  Mimivirus,315393,,,,,,,,,,,0.25,,,,
                  Phikmvvirus,477967,,,,0.02,,,,,,,,,,2.59,
              Rauchvirus,542959,,,,,,,0.29,,,,,,,,
              Uetakevirus,542960,0.11,,0.39,,,,0.54,,,,,,,,0.1
              Bixzunavirus,680114,0.09,,,,,,,,,,,,,,
                Phikzvirus,680115,,,,0.01,,,,,,,,,,,
                  Alphanecrovirus,1299309,,,,,,,,0.33,,,,0.3,,,
                  Betanecrovirus,1299311,,,,,,,,,,,,0.3,,,
                  Nyavirus,1513295,,,,,,,,,,,,,,0.23,
                Gemycircularvirus,1542744,,3.29,,,,,,1.56,0.86,,,6.1,,,
              Cheoctovirus,1623281,0.89,,,,,,1.11,,,,,1.35,,,0.4
              Liefievirus,1623288,0.13,,,,,,,,,,,,,,
              Skunavirus,1623305,0.22,,,0.01,0.37,,0.45,1.44,,0.37,0.99,,,,0.18
              Hollowayvirus,1720324,0.1,,0.44,,,,0.31,,,,,,,,0.09
                  Alphatrevirus,1910951,0.12,,,,,,0.24,,,0.22,0.25,,,,
                  Kagunavirus,1910992,0.67,1.55,0.67,,0.78,,0.73,0.49,,0.64,0.5,0.64,,0.04,0.24
                  Cornellvirus,1910993,,0.88,,,,,0.96,,,,,,,,0.23
                  Alphacarmovirus,1911599,0.1,,,,,,,,,0.22,,,,,
                  Gammacarmovirus,1911601,1.64,,,,0.92,,,,0.4,0.29,0.4,0.37,0.01,,0.24
                  Mosigvirus,1913652,,,,,,,,,,,,,0.01,,
              Vequintavirus,1914852,0.15,,,,,,0.26,,,0.19,0.36,,,,0.25
              Obolenskvirus,1915205,,,,,,,0.39,,,,,,,,
              Mapvirus,1920750,0.13,,,,,,,,,,,,,,
                  Gamaleyavirus,1920753,0.19,,,0.02,,,,,,0.21,,,,,0.15
                  Litunavirus,1920762,0.24,,,,,,,,,,,,0.01,,
                  Drulisvirus,1920774,0.2,,0.42,0.02,,,0.26,,,,,,,0.09,0.19
                Webervirus,1920860,0.17,0.41,,0.02,0.41,,1.85,,,0.26,0.4,0.34,,,0.35
                  Tlsvirus,1920865,,,0.39,,,,,,,,,,,,
                  Pakpunavirus,1921407,0.11,,,,,,,,,,,,,,
              Septimatrevirus,1921544,0.1,,,,,,0.81,,,,,,,,0.1
                Gemykibivirus,1941236,0.37,2.24,,,0.75,,0.57,5.26,2.39,0.19,0.35,3.97,,,0.37
              Mudcatvirus,1982088,,,,,,,,0.28,1.7,,,,,,
              Gordonvirus,1982152,0.12,,,,,,,0.26,6.65,,,,,,0.1
              Nipunavirus,1982239,,,,,0.78,,0.24,,,,,,,,
