name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333
                  Mastadenovirus,10509,,,,,0.04,,,,,,0.08,
                Sequivirus,12057,,,,,,,,,0.16,0.1,0.07,0.34
                Sobemovirus,12137,,,,,,,,,0.3,,,
                  Tombusvirus,12141,,,,0.05,,,,,,,,
                Tymovirus,12148,,,,,,,0.19,,0.16,0.26,0.06,
                Potexvirus,12176,,0.16,,1.06,0.06,,,,0.13,,0.09,
                Tobamovirus,12234,37.33,54.57,27.97,63.14,78.27,58.97,16.53,23.87,17.9,55.53,66.87,64.37
                  Comovirus,12258,,,,,0.04,,,,,,,
                Bromovirus,12300,,,,0.04,,,,,,,0.12,
                  Teseptimavirus,110456,,,,,,,,,0.23,,0.11,0.23
                Myohalovirus,169682,,0.1,,,,,,,,,,
                  Mardivirus,180252,,,,,,,,,0.13,,,
                  Aureusvirus,186457,,,,0.11,0.03,,,,,,,
              Ceduovirus,186532,,,,,,,,,,,0.07,
              Fromanvirus,186764,0.91,0.09,,,,,,,,,0.18,
                  Kobuvirus,194960,,,,,0.04,,,,,,0.1,
                Maculavirus,249185,,,,,,,,,,,0.05,
          Whispovirus,249585,,0.09,,,,,,,,,,
                Mamastrovirus,249588,,,,,0.04,,0.25,0.8,,,,
                  Mimivirus,315393,,,,,,,,,,,0.09,
                  Phikmvvirus,477967,0.19,0.31,,,,,,,,,,
              Rauchvirus,542959,,,,0.04,0.04,,,,,0.41,0.1,0.15
              Uetakevirus,542960,,,,,,,,,,,0.21,
              Bruynoghevirus,545932,,0.41,,,,,,,,,,
                Ostreavirus,548686,,0.22,,,,,,,,,,
            Alphabaculovirus,558016,,0.6,,0.04,,,,,,0.12,0.06,
                Kuravirus,680277,,0.25,,0.05,,,,,,,,
                    Alphacoronavirus,693996,,,,,,,,,,,0.07,
                  Bocaparvovirus,1507401,,,,,,,,,,,0.06,
                Gemycircularvirus,1542744,,0.16,,0.19,,1.61,,,,,0.08,
              Cheoctovirus,1623281,,,,,0.11,,,,,,,
              Corndogvirus,1623285,,,,,0.04,,,,,,,
              Detrevirus,1623287,,0.13,,,0.05,,,,,,,
              Dhillonvirus,1623289,,,,,,,,,,0.1,0.05,
                Moineauvirus,1623304,,,,,,,,,,,0.24,
              Skunavirus,1623305,0.52,0.37,,0.61,0.23,1.08,0.69,0.71,1.34,1.12,1.17,0.87
              Lessievirus,1720323,0.18,,,,,,,,,,0.05,
              Hollowayvirus,1720324,0.2,,,,,,,,,0.2,0.07,
                  Agatevirus,1910931,0.16,,,,,,,,,,,
                  Alphatrevirus,1910951,,,,,0.1,,,,,,0.09,
                  Gequatrovirus,1910952,,,,,0.07,,,,,,0.21,
                  Sinsheimervirus,1910954,,,,0.04,,,,,,,0.21,
                  Kagunavirus,1910992,0.23,0.11,,0.12,0.1,0.38,,,0.46,0.6,0.39,0.83
                  Cornellvirus,1910993,,0.08,,,,,,,,,0.08,
                  Alphacarmovirus,1911599,,,,,,,,,,,0.09,
                  Gammacarmovirus,1911601,,0.33,0.39,0.23,0.19,,,,0.16,0.15,0.13,
                  Mosigvirus,1913652,,,,,,,,,,0.21,,
                  Gaprivervirus,1913654,,,,,,,,,,,0.06,
              Vequintavirus,1914852,,,,0.09,0.06,,0.19,,,0.35,0.24,0.21
              Obolenskvirus,1915205,,,,,,,,,,,0.08,
              Jilinvirus,1918725,0.23,,,,,,,,,,,
                  Gamaleyavirus,1920753,,0.13,,0.1,0.05,,,,,0.54,0.28,
                  Litunavirus,1920762,,,,0.04,,,,0.34,,,0.08,
                  Drulisvirus,1920774,,,,0.05,0.04,,,,0.16,0.31,0.29,0.29
                Webervirus,1920860,,,,,,,,,,,0.05,
              Septimatrevirus,1921544,,,,,,,,,,,0.1,
                Gemykibivirus,1941236,0.42,0.19,,0.96,0.04,1.14,,0.34,,,0.14,
              Mudcatvirus,1982088,0.39,,,,,,,,,,0.1,
              Gordonvirus,1982152,0.79,,,,0.04,,,,,,0.09,
              Pepyhexavirus,1982367,,,,0.04,0.05,,,,,0.1,0.1,0.31
              Titanvirus,1982573,,0.07,,,,,,,,,,
              Coopervirus,1982898,,0.1,,0.04,0.08,0.34,,,,,,
                Gemykrogvirus,1985367,,,,,0.08,,,,,0.21,0.06,
                  Friunavirus,1985711,,,,0.04,,,2.12,0.58,,,0.26,
                  Przondovirus,1985720,,,,,,,,,,,0.11,
                  Pradovirus,1985733,,0.07,,0.04,0.03,,,,,,,
          Pandoravirus,2060084,0.53,,,,0.09,,0.46,,1.56,0.35,0.25,
                  Kuttervirus,2169536,,,,,,,,,,,0.05,
              Limdunavirus,2169621,0.19,0.09,,0.2,0.09,,0.15,,0.34,0.19,0.19,
              Unaquatrovirus,2169622,,,,,,,,,,0.1,0.07,
                  Ithacavirus,2169643,,,,0.05,,,,,,,0.06,
                Sopolycivirus,2169646,,0.29,,0.04,,,,,,,,
                Husavirus,2219049,,,,,0.05,,,,,,,
                    Mobatvirus,2501367,,,,0.06,,,,,,,,
              Bingvirus,2560103,,,,,,,,,,,0.05,
              Bjornvirus,2560104,,0.09,,,,,,,,,,
                  Coguvirus,2560118,0.34,,,,,,,,,,,
              Eneladusvirus,2560128,,,,,,,,,,0.12,,
              Fipvunavirus,2560132,,,,0.09,0.04,,,,,,,
              Gustavvirus,2560144,0.64,,,,,,,,,,,
              Krylovvirus,2560162,,0.16,,,,,,,,,,
                Locarnavirus,2560169,,,,0.04,0.03,,,0.37,0.2,,0.07,
                  Phimunavirus,2560202,,,,0.06,,,,,,,,
              Plaisancevirus,2560204,,,,,,,,1.41,,,,
                Pollyceevirus,2560206,2.55,,,,,,,,,,,
              Polybotosvirus,2560207,,,,,,,,,,0.1,0.15,
              Popoffvirus,2560208,0.88,0.1,,0.04,0.05,0.95,,,0.7,0.42,0.35,0.5
              Rimavirus,2560214,,,,,,,,,,,0.08,
                Sanovirus,2560222,,,,,0.04,,,,,0.1,0.05,
                Sugarlandvirus,2560233,,,,0.04,,,,,,,,
                Tulanevirus,2560244,,,,,,,,,,,0.06,
              Vicosavirus,2560248,,0.63,,,,,,,,,,
              Vieuvirus,2560250,,,,0.07,,,,,,,,
