time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),relative_humidity_2m_mean (%)
2017-01-01,19.4,24.0,14.1,0.00,66
2017-01-02,20.9,26.6,16.4,0.00,71
2017-01-03,20.8,26.4,15.6,0.00,77
2017-01-04,19.5,23.5,15.6,0.00,83
2017-01-05,20.7,25.9,16.5,0.00,79
2017-01-06,22.3,26.4,17.9,0.30,75
2017-01-07,21.4,25.5,17.5,0.00,74
2017-01-08,18.5,22.8,14.1,0.00,67
2017-01-09,18.7,23.8,14.4,0.00,67
2017-01-10,20.5,26.2,16.9,1.00,68
2017-01-11,15.8,18.3,13.6,0.60,69
2017-01-12,11.8,13.6,10.4,1.10,78
2017-01-13,11.2,12.1,10.1,7.90,81
2017-01-14,11.8,12.7,10.4,3.70,83
2017-01-15,11.8,13.2,10.1,3.60,82
2017-01-16,11.9,12.4,10.1,3.20,83
2017-01-17,14.0,16.5,12.4,0.00,81
2017-01-18,16.8,19.2,14.3,0.40,77
2017-01-19,15.6,20.5,11.5,0.20,74
2017-01-20,13.2,18.1,9.6,0.00,59
2017-01-21,13.6,17.4,9.6,0.00,48
2017-01-22,13.4,18.7,9.1,0.00,52
2017-01-23,14.7,20.3,10.1,0.00,63
2017-01-24,16.5,21.2,12.4,0.00,66
2017-01-25,17.2,23.0,10.6,0.00,64
2017-01-26,15.7,21.5,10.8,0.00,70
2017-01-27,15.7,21.8,11.6,0.00,74
2017-01-28,18.8,23.5,12.9,1.50,71
2017-01-29,19.1,22.4,16.6,2.40,88
2017-01-30,16.1,18.8,11.4,2.10,70
2017-01-31,13.9,17.1,11.9,1.30,78
2017-02-01,16.2,21.1,11.4,0.00,66
2017-02-02,16.1,19.6,13.5,0.00,71
2017-02-03,17.6,21.7,14.9,0.00,71
2017-02-04,17.5,22.2,13.9,15.60,85
2017-02-05,18.4,23.4,13.8,0.00,71
2017-02-06,19.3,23.7,15.4,1.70,73
2017-02-07,17.4,19.8,15.3,4.70,71
2017-02-08,12.7,19.9,7.2,2.40,73
2017-02-09,10.7,15.1,7.6,0.00,50
2017-02-10,10.6,14.4,6.8,0.00,46
2017-02-11,11.8,16.8,7.5,0.00,50
2017-02-12,12.8,18.1,8.4,0.00,57
2017-02-13,14.8,20.8,9.6,0.00,62
2017-02-14,15.9,22.2,10.6,0.00,67
2017-02-15,16.4,22.8,10.9,0.00,68
2017-02-16,18.1,24.1,12.7,0.00,75
2017-02-17,19.8,25.7,14.2,0.00,71
2017-02-18,20.5,27.6,15.6,0.00,72
2017-02-19,19.5,25.3,15.6,0.00,75
2017-02-20,21.2,25.9,17.2,0.00,79
2017-02-21,21.1,25.8,18.1,1.00,79
2017-02-22,18.7,25.0,12.2,4.90,81
2017-02-23,10.6,13.0,8.1,4.00,74
2017-02-24,8.7,9.9,7.7,4.50,77
2017-02-25,9.3,11.1,7.7,5.50,79
2017-02-26,14.6,18.5,8.8,2.00,59
2017-02-27,17.3,21.4,13.9,0.00,64
2017-02-28,17.5,21.6,15.0,0.00,66
2017-03-01,17.0,22.7,12.7,0.00,63
2017-03-02,16.9,22.4,12.5,0.00,44
2017-03-03,18.2,23.5,14.6,0.00,63
2017-03-04,19.5,25.2,15.4,0.40,79
2017-03-05,20.8,26.8,15.5,0.60,77
2017-03-06,17.9,20.9,15.9,0.10,65
2017-03-07,15.0,17.8,12.9,6.00,82
2017-03-08,15.0,16.4,12.8,0.30,75
2017-03-09,15.4,17.9,13.4,5.90,84
2017-03-10,16.7,17.8,15.4,12.50,93
2017-03-11,18.3,19.6,16.8,3.70,89
2017-03-12,20.9,23.9,17.8,0.20,86
2017-03-13,22.2,28.1,14.4,3.30,80
2017-03-14,15.0,16.7,13.6,1.10,71
2017-03-15,18.1,22.1,14.1,0.10,77
2017-03-16,17.4,20.3,16.1,0.50,82
2017-03-17,20.3,23.8,16.5,2.10,81
2017-03-18,21.0,24.1,18.8,10.70,88
2017-03-19,20.5,22.2,19.5,16.20,95
2017-03-20,22.4,26.0,18.8,2.40,84
2017-03-21,22.2,26.5,19.5,2.70,82
2017-03-22,20.1,22.1,18.5,3.00,90
2017-03-23,21.7,25.8,18.5,0.80,85
2017-03-24,21.7,27.0,15.4,1.60,78
2017-03-25,14.2,16.7,11.9,6.80,76
2017-03-26,14.2,18.3,11.4,0.30,70
2017-03-27,18.5,23.8,14.5,0.00,62
2017-03-28,20.9,25.4,17.6,2.20,76
2017-03-29,22.3,26.4,19.1,1.80,82
2017-03-30,23.1,26.8,20.6,7.30,86
2017-03-31,15.6,19.0,12.1,19.70,81
2017-04-01,17.6,23.0,12.6,0.00,60
2017-04-02,18.5,23.7,13.8,0.00,61
2017-04-03,19.7,24.6,15.6,0.00,69
2017-04-04,21.2,25.4,17.4,0.00,73
2017-04-05,23.2,27.1,20.2,1.10,77
2017-04-06,23.2,26.6,20.8,0.30,88
2017-04-07,24.8,29.0,21.6,0.30,83
2017-04-08,25.1,28.8,22.5,1.50,84
2017-04-09,26.8,30.1,24.7,1.60,81
2017-04-10,26.6,31.5,19.8,2.10,80
2017-04-11,20.0,25.5,15.6,22.00,81
2017-04-12,17.5,18.6,16.2,11.60,77
2017-04-13,19.6,22.9,17.0,0.00,77
2017-04-14,22.5,25.4,19.2,0.20,79
2017-04-15,24.0,27.4,21.5,1.10,86
2017-04-16,25.4,30.3,21.2,0.50,83
2017-04-17,26.6,32.2,21.8,0.10,77
2017-04-18,26.8,30.9,23.5,0.00,74
2017-04-19,25.1,30.0,22.8,11.40,85
2017-04-20,25.2,28.4,21.7,28.80,88
2017-04-21,22.3,28.5,17.4,41.00,75
2017-04-22,19.1,23.5,17.0,1.80,76
2017-04-23,20.8,23.9,19.0,7.10,83
2017-04-24,21.6,24.8,20.0,12.40,88
2017-04-25,22.7,25.0,21.6,54.50,93
2017-04-26,23.3,27.5,19.2,23.30,88
2017-04-27,19.7,21.8,16.6,0.80,73
2017-04-28,21.1,25.5,16.4,0.00,66
2017-04-29,22.8,27.2,18.8,0.00,72
2017-04-30,24.0,28.7,21.0,0.00,75
2017-05-01,25.4,29.9,22.6,0.30,78
2017-05-02,26.2,29.3,24.0,1.50,84
2017-05-03,26.8,30.5,24.5,11.70,85
2017-05-04,23.8,25.8,21.9,37.20,82
2017-05-05,25.7,28.9,22.8,0.10,80
2017-05-06,26.5,30.8,22.8,5.20,79
2017-05-07,25.0,27.4,23.4,14.90,89
2017-05-08,24.9,29.1,22.4,22.00,88
2017-05-09,25.6,28.9,22.9,0.00,83
2017-05-10,26.3,30.6,23.6,8.80,87
2017-05-11,26.7,30.4,24.3,0.80,85
2017-05-12,26.0,28.1,24.2,1.60,84
2017-05-13,25.2,28.8,23.2,12.70,88
2017-05-14,25.6,29.0,23.0,12.50,86
2017-05-15,24.3,27.1,21.9,84.90,88
2017-05-16,24.5,28.6,21.6,0.00,77
2017-05-17,26.2,29.9,23.0,0.50,73
2017-05-18,25.1,28.2,22.9,2.20,79
2017-05-19,24.2,26.5,22.8,0.20,79
2017-05-20,24.2,25.8,23.0,12.20,87
2017-05-21,25.0,28.1,22.8,11.40,83
2017-05-22,25.3,27.4,23.6,1.90,88
2017-05-23,27.3,30.6,24.6,10.70,86
2017-05-24,24.1,25.6,22.9,22.50,81
2017-05-25,25.6,28.1,23.5,0.10,70
2017-05-26,24.4,27.0,22.5,0.00,72
2017-05-27,25.6,29.4,22.0,0.00,73
2017-05-28,26.6,31.5,22.0,0.00,72
2017-05-29,26.5,30.8,22.5,0.00,76
2017-05-30,27.4,31.4,24.6,0.00,78
2017-05-31,28.8,32.0,26.4,2.40,79
2017-06-01,29.3,31.5,27.2,7.70,81
2017-06-02,28.3,32.0,26.1,10.80,89
2017-06-03,29.0,33.7,26.5,27.80,85
2017-06-04,29.0,32.7,26.8,10.30,87
2017-06-05,28.9,31.9,27.0,15.10,86
2017-06-06,28.5,31.6,25.8,10.70,84
2017-06-07,27.8,30.2,26.0,11.90,87
2017-06-08,28.1,31.0,24.8,13.40,84
2017-06-09,27.9,31.4,25.9,14.40,85
2017-06-10,28.6,32.2,25.8,2.80,83
2017-06-11,29.4,33.2,26.1,1.20,81
2017-06-12,28.7,31.5,26.1,16.40,79
2017-06-13,27.6,29.9,25.3,18.50,87
2017-06-14,27.2,29.4,25.4,16.70,90
2017-06-15,28.1,31.5,26.2,22.30,86
2017-06-16,27.2,32.1,24.6,38.40,89
2017-06-17,25.7,27.1,24.0,23.40,88
2017-06-18,25.7,27.4,24.5,19.80,91
2017-06-19,26.5,30.8,25.0,19.80,92
2017-06-20,26.7,28.8,25.1,3.60,90
2017-06-21,27.3,30.1,25.5,20.40,89
2017-06-22,27.8,30.8,26.0,7.90,88
2017-06-23,28.6,32.4,26.2,1.80,83
2017-06-24,28.5,31.5,26.2,4.00,84
2017-06-25,28.4,31.5,26.5,5.80,84
2017-06-26,29.0,31.8,26.4,10.60,83
2017-06-27,28.6,31.5,26.3,3.90,84
2017-06-28,29.2,32.6,26.2,0.70,80
2017-06-29,28.4,31.4,25.8,1.40,83
2017-06-30,28.7,32.3,25.9,2.30,80
2017-07-01,28.0,30.7,26.3,9.30,84
2017-07-02,27.0,29.9,24.8,25.10,89
2017-07-03,25.8,27.6,24.7,58.70,93
2017-07-04,27.1,29.5,25.4,18.00,89
2017-07-05,27.5,31.0,25.6,12.00,87
2017-07-06,26.9,30.0,24.8,10.40,88
2017-07-07,26.8,29.1,25.0,12.20,88
2017-07-08,26.5,28.7,25.0,23.00,91
2017-07-09,28.0,31.2,25.6,12.90,85
2017-07-10,28.0,31.5,25.5,5.60,85
2017-07-11,28.0,31.4,25.2,3.10,85
2017-07-12,28.3,31.5,25.6,1.60,84
2017-07-13,28.8,32.3,25.8,3.60,81
2017-07-14,28.4,31.8,25.5,2.00,83
2017-07-15,27.5,31.6,25.8,11.00,85
2017-07-16,27.3,30.6,25.5,3.90,84
2017-07-17,26.1,29.1,24.1,58.60,90
2017-07-18,25.3,27.5,24.2,30.70,94
2017-07-19,26.2,29.1,25.0,9.90,92
2017-07-20,27.3,30.2,25.2,7.00,87
2017-07-21,27.6,31.4,25.1,5.80,85
2017-07-22,28.9,32.5,25.9,0.80,82
2017-07-23,26.5,29.4,25.0,19.30,90
2017-07-24,27.5,30.2,25.4,7.60,88
2017-07-25,28.6,32.0,26.1,0.80,85
2017-07-26,28.9,32.8,25.9,1.40,84
2017-07-27,29.4,33.1,26.1,0.30,79
2017-07-28,30.1,33.6,27.0,0.10,78
2017-07-29,30.7,34.9,28.0,3.90,78
2017-07-30,31.6,35.5,28.5,0.30,72
2017-07-31,30.0,35.2,27.2,24.10,83
2017-08-01,29.3,32.5,26.2,16.20,85
2017-08-02,28.4,31.3,25.5,15.40,88
2017-08-03,27.2,29.9,25.8,25.50,92
2017-08-04,27.7,30.2,25.8,5.70,89
2017-08-05,28.5,31.6,25.7,3.50,86
2017-08-06,29.8,33.0,26.9,0.40,81
2017-08-07,29.8,33.1,27.2,0.50,82
2017-08-08,29.7,32.4,27.0,5.50,81
2017-08-09,30.0,33.2,27.7,2.40,80
2017-08-10,29.1,32.0,27.4,6.70,85
2017-08-11,29.5,32.5,27.0,1.60,83
2017-08-12,29.6,32.8,26.8,1.10,81
2017-08-13,29.1,32.8,26.8,1.90,82
2017-08-14,29.0,32.8,25.6,3.20,83
2017-08-15,28.9,32.5,25.8,0.10,82
2017-08-16,28.8,32.9,25.8,4.80,82
2017-08-17,28.7,32.2,26.2,1.70,83
2017-08-18,29.7,33.2,26.4,0.00,79
2017-08-19,29.6,32.7,25.8,0.00,77
2017-08-20,30.6,34.0,27.3,0.00,75
2017-08-21,31.1,34.9,28.0,0.00,76
2017-08-22,30.5,35.8,27.1,22.60,77
2017-08-23,26.7,29.3,25.5,19.70,88
2017-08-24,27.4,30.0,25.5,2.70,88
2017-08-25,27.8,31.7,26.0,5.40,88
2017-08-26,28.9,33.2,25.6,3.50,79
2017-08-27,25.6,26.5,24.7,69.10,92
2017-08-28,25.1,27.0,24.6,35.80,95
2017-08-29,27.5,31.0,24.5,1.50,85
2017-08-30,29.3,33.8,26.2,2.00,81
2017-08-31,28.8,32.8,25.9,7.70,85
2017-09-01,28.8,31.6,26.0,0.60,83
2017-09-02,28.9,32.4,26.5,2.20,83
2017-09-03,28.6,31.7,26.8,14.10,86
2017-09-04,26.3,27.7,24.5,59.40,94
2017-09-05,27.0,29.4,25.4,11.60,91
2017-09-06,28.0,31.2,25.8,20.00,89
2017-09-07,27.1,29.5,25.8,9.40,91
2017-09-08,27.6,29.8,25.2,8.10,87
2017-09-09,27.5,30.8,25.2,13.70,88
2017-09-10,27.2,31.4,25.1,14.80,89
2017-09-11,28.5,32.1,25.9,7.30,85
2017-09-12,28.5,32.8,25.9,5.00,82
