name,taxid,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273
                  Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,
                  Rhadinovirus,10379,0.09,,,,,,,,,,,,,,
                  Mastadenovirus,10509,0.36,0.06,0.36,0.17,,0.15,,,,0.21,,0.22,,0.19,
                  Aviadenovirus,10552,0.07,,,0.09,,,,,,,,,,,
                  Tequatrovirus,10663,0.09,0.09,,,,,,,,,,,0.13,,
                Rotavirus,10912,,,,,,,,,,,2.14,,,,
                Sobemovirus,12137,0.23,1.24,0.33,,,,0.24,,,,,,,,
                  Tombusvirus,12141,,0.25,0.12,,,,,0.28,,,,,,,
                  Carlavirus,12163,0.32,0.1,0.2,0.12,,0.17,,0.22,,0.25,,,0.13,0.26,0.4
                Potexvirus,12176,0.11,0.19,0.17,,,,0.2,,,5.7,,,0.13,0.12,0.22
                Potyvirus,12195,,,,0.22,,,,,,,,0.22,,,
                Tobamovirus,12234,5.28,10.61,7.38,4.75,13.41,9.89,17.29,45.89,26.81,18.35,3.4,19.57,12.0,3.33,10.12
                Circovirus,39725,,,,0.38,10.35,,,,,,,,,,
                  Teseptimavirus,110456,0.79,0.26,0.37,0.46,,0.24,,,0.49,,0.18,0.25,0.21,0.65,
                Peduovirus,140410,,,,,,,,,,,,,0.18,,
                Norovirus,142786,,,0.09,,,,,,,,,,,,
                Alphanodavirus,143920,0.93,4.59,2.46,1.74,11.4,1.36,1.82,0.94,1.29,2.85,0.28,1.91,0.79,0.67,0.51
                Prasinovirus,181084,0.07,,0.2,,,,,,,,,,,,
                  Aureusvirus,186457,,0.06,,,,,,,,,,,,,
              Ceduovirus,186532,0.24,0.06,0.09,1.6,,,,,,,,0.62,,,
              Fromanvirus,186764,0.11,0.07,,,,,,,,,,,,,
              Punavirus,186789,,,,,,,,,0.24,,,,0.26,,
              Lederbergvirus,186794,0.13,0.22,0.32,0.21,,,,,,,,0.35,0.48,0.13,
                  Panicovirus,186844,,0.08,0.35,,,,0.24,,,,,,,,
                  Tequintavirus,187218,0.1,0.36,,,,,,,,,,,,0.25,
                Mamastrovirus,249588,0.33,0.43,0.83,0.8,,0.53,,0.48,,0.6,0.52,0.47,0.61,0.45,0.24
                  Mimivirus,315393,0.23,0.17,0.23,0.16,,0.34,,,,,,,0.11,0.13,
                  Enquatrovirus,371730,0.07,0.06,,,,,0.26,,,,,,,,
                  Phikmvvirus,477967,,,,,,,,,,,0.19,,0.23,,
              Rauchvirus,542959,0.38,0.24,0.56,0.59,,0.71,0.61,,0.44,0.2,0.13,0.22,,0.46,0.31
              Uetakevirus,542960,0.13,0.36,0.26,0.36,,0.35,0.39,,0.26,0.21,0.23,0.68,0.4,,
              Bruynoghevirus,545932,,,,,,,,,,,,0.24,,,
            Alphabaculovirus,558016,0.12,0.13,0.15,0.08,,,,,0.25,,0.18,,,0.12,
            Betabaculovirus,558017,,,,,,,,,,,,,,,0.22
                Kuravirus,680277,0.07,0.3,,0.1,,0.32,,,0.23,,,0.75,,,
                  Felixounavirus,1198140,0.08,0.11,0.09,0.1,,,,0.7,,,,,,0.12,
                Kappatorquevirus,1218487,,,,,,,,,,,,,0.12,,
                  Alphanecrovirus,1299309,,0.23,,,,,,,,,,,,0.14,
                  Betanecrovirus,1299311,,0.09,,,,,,,,,,,,,
                  Bocaparvovirus,1507401,,,,0.11,,,,,,,,,,,
                Gemycircularvirus,1542744,,0.4,0.22,2.18,,,,,,,,,,,0.73
              Cheoctovirus,1623281,0.33,0.25,0.33,0.33,,,0.67,,,,,,,,
