time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),relative_humidity_2m_mean (%)
2017-01-01,-16.7,-8.5,-21.6,0.00,82
2017-01-02,-19.5,-16.9,-24.0,0.00,76
2017-01-03,-23.4,-19.9,-29.0,0.00,74
2017-01-04,-21.9,-18.9,-24.5,0.00,74
2017-01-05,-22.0,-14.4,-29.0,0.00,74
2017-01-06,-20.5,-16.8,-27.0,0.00,80
2017-01-07,-22.1,-15.3,-28.8,0.00,71
2017-01-08,-19.6,-17.3,-22.6,0.00,73
2017-01-09,-19.5,-15.9,-24.4,0.00,76
2017-01-10,-21.6,-18.9,-24.0,0.00,77
2017-01-11,-25.0,-15.6,-31.9,0.00,74
2017-01-12,-22.1,-10.3,-29.4,0.00,64
2017-01-13,-22.8,-11.8,-29.0,0.00,69
2017-01-14,-16.2,-8.6,-21.6,0.00,79
2017-01-15,-12.6,-4.9,-16.8,0.00,82
2017-01-16,-11.4,-4.3,-14.7,0.00,86
2017-01-17,-3.7,3.3,-9.4,0.00,79
2017-01-18,0.7,4.6,-4.0,0.00,83
2017-01-19,0.9,4.0,-3.5,0.00,86
2017-01-20,-1.6,2.4,-5.7,0.00,87
2017-01-21,-3.6,-1.3,-8.4,0.00,93
2017-01-22,-2.6,-1.1,-3.8,0.00,91
2017-01-23,-6.0,-2.8,-9.0,0.10,88
2017-01-24,-7.6,-5.5,-9.2,0.00,87
2017-01-25,-10.9,-7.9,-14.1,0.00,84
2017-01-26,-10.8,-1.9,-15.9,0.00,85
2017-01-27,-3.2,1.2,-5.4,0.00,85
2017-01-28,-0.1,2.0,-1.1,0.00,81
2017-01-29,0.4,3.7,-2.7,0.20,81
2017-01-30,0.7,2.0,-1.1,0.30,81
2017-01-31,-5.0,-0.2,-12.8,0.00,79
2017-02-01,-16.6,-11.4,-21.9,0.00,71
2017-02-02,-14.8,-8.1,-20.7,0.00,67
2017-02-03,-14.9,-8.2,-20.4,0.00,74
2017-02-04,-13.3,-11.9,-15.6,0.00,78
2017-02-05,-16.7,-12.8,-20.5,0.00,76
2017-02-06,-16.3,-14.1,-18.2,0.00,78
2017-02-07,-22.1,-19.4,-27.4,0.00,77
2017-02-08,-25.8,-19.8,-29.8,0.00,73
2017-02-09,-22.0,-9.0,-29.5,0.00,74
2017-02-10,-7.2,2.0,-11.4,0.20,87
2017-02-11,-8.1,-4.3,-11.3,0.00,86
2017-02-12,-4.7,-0.5,-10.8,0.00,76
2017-02-13,-1.5,2.5,-4.6,0.00,78
2017-02-14,-2.9,2.5,-9.9,0.00,85
2017-02-15,-0.7,4.2,-4.8,0.00,83
2017-02-16,3.3,6.8,-0.2,0.00,79
2017-02-17,4.7,7.4,3.1,0.00,76
2017-02-18,0.1,4.9,-6.2,0.00,86
2017-02-19,0.2,3.5,-1.9,0.00,85
2017-02-20,0.4,5.3,-4.4,0.00,89
2017-02-21,-0.0,4.7,-3.8,0.20,86
2017-02-22,-1.0,3.8,-7.4,0.00,74
2017-02-23,-2.9,0.6,-5.2,0.00,65
2017-02-24,-4.6,-0.5,-8.4,0.00,58
2017-02-25,-8.2,-3.9,-11.4,0.00,63
2017-02-26,-9.2,-4.0,-13.6,0.00,52
2017-02-27,-12.9,-6.2,-19.5,0.00,54
2017-02-28,-11.2,-4.4,-15.0,0.00,65
2017-03-01,-9.6,-2.5,-17.1,0.00,66
2017-03-02,-9.5,-3.0,-13.9,0.00,66
2017-03-03,-4.6,4.3,-9.6,0.00,69
2017-03-04,1.4,10.1,-2.2,0.00,73
2017-03-05,0.4,8.1,-3.7,0.30,79
2017-03-06,-4.8,2.0,-8.1,0.00,84
2017-03-07,-11.2,-8.4,-13.1,0.00,60
2017-03-08,-13.2,-8.6,-17.3,0.00,56
2017-03-09,-15.2,-10.8,-18.2,0.00,43
2017-03-10,-18.2,-13.1,-21.5,0.00,38
2017-03-11,-15.9,-10.3,-19.1,0.00,57
2017-03-12,-15.3,-11.4,-17.6,0.00,68
2017-03-13,-16.5,-8.4,-22.1,0.00,70
2017-03-14,-8.0,0.6,-11.8,0.00,70
2017-03-15,0.1,10.4,-5.3,0.00,76
2017-03-16,3.8,11.4,-0.4,0.10,83
2017-03-17,0.6,5.2,-3.3,0.30,70
2017-03-18,2.0,12.6,-2.4,0.10,42
2017-03-19,6.4,9.4,3.3,0.30,59
2017-03-20,-1.4,5.3,-5.0,0.00,44
2017-03-21,-7.0,0.5,-12.9,0.00,45
2017-03-22,-2.0,10.6,-7.9,0.20,52
2017-03-23,2.3,9.4,-2.7,0.00,74
2017-03-24,0.9,11.1,-5.4,0.00,70
2017-03-25,6.4,13.5,1.6,0.50,65
2017-03-26,4.1,12.6,-2.8,0.00,63
2017-03-27,2.4,11.3,-4.7,0.00,71
2017-03-28,2.4,7.3,-0.4,0.50,87
2017-03-29,5.1,14.3,0.2,0.00,75
2017-03-30,7.6,15.4,1.0,0.00,60
2017-03-31,4.8,11.4,0.3,0.30,77
2017-04-01,4.6,13.8,-0.9,0.00,77
2017-04-02,7.9,12.6,2.2,0.10,66
2017-04-03,3.7,11.0,-2.0,0.60,69
2017-04-04,2.7,9.5,-2.8,0.30,72
2017-04-05,3.0,10.8,-3.7,0.50,61
2017-04-06,6.0,15.6,0.5,0.00,60
2017-04-07,11.9,20.5,5.9,0.30,57
2017-04-08,12.2,17.8,7.6,0.00,47
2017-04-09,2.0,12.4,-4.0,0.00,64
2017-04-10,-0.4,6.8,-5.7,0.00,59
2017-04-11,3.7,11.9,-2.1,2.10,56
2017-04-12,4.6,13.1,-3.3,0.10,67
2017-04-13,8.3,16.7,2.8,0.00,58
2017-04-14,11.1,15.9,6.9,1.00,63
2017-04-15,6.8,12.6,0.6,1.00,57
2017-04-16,-0.2,9.4,-3.7,0.90,62
2017-04-17,-2.1,7.2,-8.6,0.00,47
2017-04-18,3.1,8.8,-1.2,0.20,74
2017-04-19,5.6,12.0,0.8,8.60,85
2017-04-20,6.3,13.8,0.1,1.80,83
2017-04-21,8.2,15.2,1.4,0.10,65
2017-04-22,5.5,13.1,1.5,1.90,75
2017-04-23,2.3,5.4,-0.9,0.00,61
2017-04-24,-0.0,4.2,-2.3,0.10,72
2017-04-25,-1.8,3.5,-7.1,0.00,70
2017-04-26,1.4,8.7,-3.8,0.00,56
2017-04-27,3.0,9.6,-3.0,0.00,51
2017-04-28,5.5,12.8,-1.5,0.00,44
2017-04-29,6.4,13.6,-0.2,4.00,68
2017-04-30,8.7,16.9,1.6,0.60,63
2017-05-01,8.5,14.6,4.3,5.60,77
2017-05-02,7.2,14.1,1.9,0.20,73
2017-05-03,8.3,15.9,1.4,0.10,70
2017-05-04,11.6,22.2,1.6,0.00,53
2017-05-05,16.5,27.0,6.8,0.00,53
2017-05-06,19.7,27.4,12.2,0.00,44
2017-05-07,19.5,27.0,13.6,0.10,40
2017-05-08,12.6,24.4,7.7,1.80,67
2017-05-09,10.2,18.5,2.7,0.00,60
2017-05-10,10.1,18.1,2.1,0.00,56
2017-05-11,13.3,20.4,6.2,0.00,53
2017-05-12,14.1,21.9,6.4,0.00,49
2017-05-13,14.5,21.9,8.0,0.10,47
2017-05-14,13.0,21.1,7.2,4.60,55
2017-05-15,10.7,17.8,4.3,0.00,45
2017-05-16,9.2,17.5,1.5,0.00,69
2017-05-17,8.9,16.6,5.7,0.00,69
2017-05-18,6.6,13.3,-0.4,0.00,49
2017-05-19,9.1,16.9,1.2,0.00,45
2017-05-20,12.8,20.0,6.2,0.00,38
2017-05-21,12.9,20.2,5.4,1.80,49
2017-05-22,12.7,18.4,6.3,0.40,58
2017-05-23,13.8,22.4,4.1,0.00,47
2017-05-24,16.7,23.3,11.4,2.20,39
2017-05-25,10.7,19.0,4.7,2.10,66
2017-05-26,11.8,17.3,8.3,0.10,64
2017-05-27,13.9,20.0,7.6,0.50,54
2017-05-28,13.3,19.5,6.3,2.70,53
2017-05-29,12.7,17.5,7.3,0.00,49
2017-05-30,12.2,18.4,4.2,0.00,47
2017-05-31,14.6,24.4,5.4,0.00,44
2017-06-01,20.5,31.1,11.4,0.00,35
2017-06-02,22.5,31.0,14.9,0.10,44
2017-06-03,20.2,26.6,13.6,0.00,39
2017-06-04,21.4,30.0,12.8,0.00,34
2017-06-05,23.8,31.5,16.4,0.40,39
2017-06-06,16.5,26.5,12.7,0.00,62
2017-06-07,17.3,24.6,9.9,0.00,46
2017-06-08,19.9,26.9,12.1,0.00,39
2017-06-09,21.3,26.5,14.9,3.60,50
2017-06-10,18.8,23.9,13.4,0.20,48
2017-06-11,15.7,22.9,11.6,0.20,47
2017-06-12,16.8,23.5,10.9,0.10,58
2017-06-13,18.7,23.9,14.8,1.80,52
2017-06-14,13.0,15.4,11.9,40.50,85
2017-06-15,13.5,18.4,10.3,4.90,79
2017-06-16,13.1,17.5,7.7,3.80,81
2017-06-17,13.6,16.0,10.6,8.50,90
2017-06-18,13.7,19.0,8.7,3.70,79
2017-06-19,14.5,19.2,7.1,0.10,68
2017-06-20,14.3,19.5,7.8,0.00,63
2017-06-21,16.6,20.2,12.6,1.50,59
2017-06-22,13.1,18.8,10.7,2.20,58
2017-06-23,11.0,13.8,6.9,0.10,59
2017-06-24,10.0,16.4,4.2,0.20,67
2017-06-25,13.5,18.5,7.0,0.00,63
2017-06-26,14.1,23.3,6.2,0.00,62
2017-06-27,20.6,27.4,15.8,0.10,49
2017-06-28,17.1,22.3,10.4,0.00,59
2017-06-29,14.9,20.9,12.1,5.70,76
2017-06-30,14.2,22.2,7.9,1.00,66
2017-07-01,17.2,22.2,12.1,1.50,77
2017-07-02,17.4,24.2,10.9,0.10,63
2017-07-03,21.1,30.1,14.4,0.00,63
2017-07-04,22.5,29.9,17.6,0.00,57
2017-07-05,21.4,29.5,15.1,0.00,55
2017-07-06,20.5,27.0,13.6,0.00,55
2017-07-07,20.3,27.2,13.8,0.00,60
2017-07-08,21.8,29.7,13.5,0.00,61
2017-07-09,22.6,28.0,15.6,0.00,61
2017-07-10,23.4,32.3,16.7,0.10,59
2017-07-11,20.8,30.6,17.0,1.00,73
2017-07-12,16.7,22.1,11.1,0.00,68
2017-07-13,19.1,27.0,13.2,0.00,58
2017-07-14,23.4,27.0,18.9,0.00,53
2017-07-15,20.5,28.0,13.8,0.00,68
2017-07-16,23.9,32.2,18.7,1.20,53
2017-07-17,21.0,30.2,14.1,0.00,53
2017-07-18,17.1,23.0,11.9,0.00,53
2017-07-19,19.7,25.2,14.4,0.10,54
2017-07-20,20.5,29.3,13.6,0.00,61
2017-07-21,22.2,27.9,16.8,0.00,71
2017-07-22,18.6,24.1,13.3,0.20,66
2017-07-23,20.7,30.9,13.3,0.00,65
2017-07-24,24.0,30.5,21.1,0.00,46
2017-07-25,19.5,24.4,15.0,0.00,49
2017-07-26,19.5,26.2,12.2,0.00,59
2017-07-27,22.3,30.1,15.7,0.00,53
2017-07-28,24.5,31.8,18.0,0.40,60
2017-07-29,23.2,29.9,14.9,0.00,57
2017-07-30,25.6,33.8,19.1,0.00,53
2017-07-31,24.3,33.0,18.0,0.00,48
2017-08-01,20.5,25.6,14.1,0.00,52
2017-08-02,17.6,22.6,14.6,6.30,71
2017-08-03,16.6,22.2,11.4,0.00,68
2017-08-04,17.9,22.6,13.2,0.10,58
2017-08-05,18.5,23.5,13.8,0.50,61
2017-08-06,17.1,23.0,12.0,0.20,72
2017-08-07,18.8,25.4,12.1,0.00,59
2017-08-08,19.1,25.3,15.3,4.70,58
2017-08-09,16.1,21.2,12.8,1.20,79
2017-08-10,16.6,22.2,11.1,0.00,69
2017-08-11,17.6,25.4,10.8,0.20,62
2017-08-12,18.8,25.0,11.9,1.80,58
2017-08-13,17.5,24.4,10.6,0.00,64
2017-08-14,19.2,25.9,13.2,0.00,56
2017-08-15,17.9,24.2,13.7,10.80,75
2017-08-16,17.1,24.3,9.8,0.00,59
2017-08-17,20.0,26.2,14.6,1.90,53
2017-08-18,18.7,26.8,11.0,0.00,60
2017-08-19,20.9,27.0,17.4,0.00,46
2017-08-20,16.4,23.0,9.1,0.00,43
2017-08-21,17.0,22.0,12.0,0.30,47
2017-08-22,15.7,23.0,9.1,0.00,48
