time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),relative_humidity_2m_mean (%)
2017-01-01,2.4,4.1,0.2,5.40,88
2017-01-02,1.3,2.5,-0.3,0.00,63
2017-01-03,-1.3,1.6,-3.5,0.00,59
2017-01-04,-1.5,1.8,-3.4,0.00,61
2017-01-05,-1.8,2.0,-5.7,0.00,71
2017-01-06,-0.6,3.5,-2.3,0.00,58
2017-01-07,-0.1,3.4,-2.1,0.00,47
2017-01-08,2.4,5.4,-0.6,5.00,66
2017-01-09,4.1,6.2,3.2,6.10,90
2017-01-10,2.7,4.5,-0.0,2.20,89
2017-01-11,0.7,3.3,-0.9,0.00,57
2017-01-12,-1.2,3.4,-4.6,0.00,74
2017-01-13,-0.7,3.8,-3.5,0.00,74
2017-01-14,-0.2,4.9,-3.9,0.00,73
2017-01-15,1.1,4.8,-2.2,0.00,71
2017-01-16,2.4,5.5,-0.8,0.00,69
2017-01-17,5.1,6.7,3.7,3.60,76
2017-01-18,7.0,10.6,5.3,45.20,91
2017-01-19,7.2,8.7,6.2,16.00,87
2017-01-20,5.4,9.2,1.4,1.50,84
2017-01-21,5.7,8.3,2.4,1.70,82
2017-01-22,5.7,7.9,2.2,6.50,86
2017-01-23,4.2,7.8,0.9,0.30,86
2017-01-24,3.7,6.9,1.4,0.00,94
2017-01-25,4.0,6.3,1.3,0.10,89
2017-01-26,5.2,7.2,3.7,0.00,92
2017-01-27,4.2,8.5,1.2,0.00,90
2017-01-28,4.7,9.6,1.4,0.00,78
2017-01-29,5.6,8.0,4.2,0.60,73
2017-01-30,6.3,6.9,5.7,0.00,87
2017-01-31,4.7,5.8,3.6,0.40,74
2017-02-01,2.4,6.2,-1.1,0.00,58
2017-02-02,1.7,5.6,-0.6,0.00,50
2017-02-03,2.1,5.6,0.8,5.00,63
2017-02-04,4.9,7.2,2.5,17.90,93
2017-02-05,4.1,5.9,2.1,11.60,94
2017-02-06,1.0,3.7,-1.5,3.30,90
2017-02-07,2.0,5.0,-0.7,0.00,84
2017-02-08,1.8,3.3,-1.4,5.50,89
2017-02-09,6.5,12.0,2.1,52.20,92
2017-02-10,7.2,10.4,5.5,6.50,86
2017-02-11,4.1,8.4,0.9,0.00,86
2017-02-12,4.0,7.9,0.6,0.00,84
2017-02-13,4.6,11.4,0.9,0.00,85
2017-02-14,5.8,12.1,1.3,0.00,70
2017-02-15,8.3,10.3,6.1,28.90,88
2017-02-16,9.5,10.8,8.7,24.60,90
2017-02-17,7.5,10.8,4.9,0.50,86
2017-02-18,6.6,9.3,5.8,3.20,88
2017-02-19,6.2,8.9,4.1,4.30,90
2017-02-20,5.9,7.3,3.8,5.00,88
2017-02-21,6.0,7.4,5.0,4.50,91
2017-02-22,4.2,7.7,2.0,6.00,84
2017-02-23,3.3,6.2,1.1,1.70,84
2017-02-24,2.9,5.8,1.1,1.20,81
2017-02-25,3.5,6.8,0.1,0.00,78
2017-02-26,3.2,5.8,1.8,7.60,88
2017-02-27,3.2,6.3,0.6,4.20,87
2017-02-28,1.8,6.8,-1.3,3.80,87
2017-03-01,6.2,9.2,4.6,0.30,79
2017-03-02,6.3,8.6,5.0,2.60,86
2017-03-03,7.0,8.0,6.1,15.40,92
2017-03-04,4.7,8.0,1.7,5.00,83
2017-03-05,4.0,7.0,2.2,4.30,78
2017-03-06,3.4,6.2,1.5,2.20,80
2017-03-07,3.0,5.2,1.9,9.90,85
2017-03-08,4.9,7.3,2.1,2.80,85
2017-03-09,4.4,6.1,3.4,10.80,93
2017-03-10,8.4,10.0,5.2,11.60,90
2017-03-11,5.8,10.4,3.3,7.10,91
2017-03-12,8.5,10.6,6.6,0.20,88
2017-03-13,8.7,10.9,7.5,9.60,91
2017-03-14,10.0,13.0,7.4,16.60,94
2017-03-15,9.4,11.4,7.9,13.20,96
2017-03-16,7.3,10.5,4.5,1.30,81
2017-03-17,5.5,10.0,2.5,3.10,80
2017-03-18,8.0,11.1,5.7,22.60,91
2017-03-19,4.7,9.3,1.6,0.10,77
2017-03-20,6.8,9.9,4.5,0.00,72
2017-03-21,8.5,11.8,6.5,5.70,80
2017-03-22,8.5,11.3,5.0,5.00,87
2017-03-23,7.7,11.9,4.7,0.00,77
2017-03-24,8.8,11.7,7.0,12.20,82
2017-03-25,7.8,11.1,5.7,3.60,82
2017-03-26,7.5,10.0,6.2,5.60,82
2017-03-27,8.1,11.3,6.4,5.30,88
2017-03-28,8.0,9.4,6.9,9.20,87
2017-03-29,8.5,10.0,6.8,26.70,91
2017-03-30,7.5,10.8,4.4,3.60,85
2017-03-31,7.3,11.5,4.0,0.00,83
2017-04-01,8.9,12.0,6.4,1.10,77
2017-04-02,8.1,11.2,4.1,2.30,83
2017-04-03,6.8,10.4,3.2,1.30,77
2017-04-04,8.0,14.3,4.5,0.00,73
2017-04-05,9.6,12.8,8.1,18.60,87
2017-04-06,9.5,13.7,6.9,6.10,82
2017-04-07,10.2,13.5,7.7,5.10,79
2017-04-08,7.9,10.6,5.9,4.90,80
2017-04-09,7.5,12.2,4.1,0.00,70
2017-04-10,8.1,11.5,5.5,4.40,76
2017-04-11,7.3,11.5,2.3,0.00,79
2017-04-12,10.0,14.8,7.6,10.20,77
2017-04-13,8.7,13.0,6.5,8.50,83
2017-04-14,7.8,10.8,5.5,0.50,80
2017-04-15,7.9,12.1,5.4,0.00,77
2017-04-16,9.6,15.2,6.1,0.00,74
2017-04-17,10.9,14.3,7.4,0.30,75
2017-04-18,10.1,13.2,8.1,5.40,88
2017-04-19,9.6,13.5,6.2,6.70,83
2017-04-20,10.1,13.4,7.5,5.40,84
2017-04-21,10.1,14.8,6.9,0.20,80
2017-04-22,12.8,15.5,10.3,4.40,62
2017-04-23,9.8,12.3,7.7,4.80,88
2017-04-24,8.9,12.0,7.2,6.60,84
2017-04-25,9.8,12.4,7.5,0.00,79
2017-04-26,10.0,11.7,8.5,7.10,85
2017-04-27,8.3,11.9,5.7,4.10,80
2017-04-28,8.9,13.1,6.2,0.60,80
2017-04-29,9.8,13.3,5.8,0.00,76
2017-04-30,9.7,11.9,8.2,5.00,84
2017-05-01,8.9,11.2,7.7,1.90,81
2017-05-02,9.2,14.7,6.1,0.00,83
2017-05-03,13.5,20.2,11.4,8.20,91
2017-05-04,14.4,20.8,10.7,0.40,89
2017-05-05,13.2,16.2,11.4,30.20,90
2017-05-06,9.5,13.6,7.2,4.10,75
2017-05-07,9.8,13.1,6.5,0.00,71
2017-05-08,10.5,14.3,7.1,0.00,74
2017-05-09,11.8,17.1,7.2,0.00,75
2017-05-10,12.7,17.7,8.5,0.70,79
2017-05-11,13.2,18.3,10.9,13.20,84
2017-05-12,9.8,12.7,7.5,1.30,80
2017-05-13,9.4,13.1,7.6,3.50,78
2017-05-14,9.9,13.6,8.2,6.30,82
2017-05-15,9.9,12.4,7.7,2.30,82
2017-05-16,8.9,11.6,7.1,12.70,82
2017-05-17,10.4,15.7,8.1,1.00,77
2017-05-18,12.0,15.2,9.6,0.00,81
2017-05-19,13.4,18.7,9.1,0.00,79
2017-05-20,14.8,19.4,11.5,0.00,75
2017-05-21,14.4,19.0,9.9,0.00,78
2017-05-22,15.8,21.4,10.0,0.00,74
2017-05-23,16.4,21.7,11.5,0.00,71
2017-05-24,12.3,16.0,9.0,0.80,68
2017-05-25,12.5,17.1,8.4,0.00,75
2017-05-26,15.1,21.7,9.7,0.00,75
2017-05-27,17.3,23.7,10.8,0.00,71
2017-05-28,17.7,23.9,11.9,0.00,69
2017-05-29,15.7,21.8,11.0,0.00,78
2017-05-30,14.4,20.2,11.2,1.20,81
2017-05-31,14.0,21.1,11.5,1.20,81
2017-06-01,15.9,20.6,13.7,6.30,82
2017-06-02,15.0,19.5,12.8,0.40,73
2017-06-03,13.8,19.9,11.0,1.10,80
2017-06-04,13.2,16.3,10.9,0.00,69
2017-06-05,13.1,17.9,8.1,0.00,71
2017-06-06,16.1,23.1,11.8,0.00,63
2017-06-07,17.7,24.9,13.8,0.00,67
2017-06-08,16.2,23.3,13.8,14.50,81
2017-06-09,13.4,16.8,10.9,2.20,71
2017-06-10,12.4,16.0,10.6,2.80,79
2017-06-11,13.8,18.0,9.5,0.00,74
2017-06-12,14.0,18.6,10.4,0.00,77
2017-06-13,13.1,16.1,11.8,0.60,77
2017-06-14,13.3,16.4,10.9,0.00,72
2017-06-15,13.9,16.5,11.8,17.50,84
2017-06-16,14.5,17.0,12.6,12.80,85
2017-06-17,13.8,16.5,11.7,0.00,73
2017-06-18,14.4,18.3,12.8,3.20,87
2017-06-19,16.0,18.8,13.0,0.10,86
2017-06-20,16.2,18.6,14.5,0.50,87
2017-06-21,13.6,16.6,10.5,1.10,78
2017-06-22,14.4,18.5,10.8,0.00,76
2017-06-23,16.3,21.1,12.1,0.00,71
2017-06-24,18.4,24.3,13.7,0.00,64
2017-06-25,21.5,29.3,15.1,0.00,60
2017-06-26,19.2,26.7,15.0,0.00,72
2017-06-27,16.2,20.0,12.9,0.00,77
2017-06-28,16.1,19.7,13.6,0.00,77
2017-06-29,16.6,21.6,12.8,0.00,79
2017-06-30,17.8,24.3,13.3,0.00,76
2017-07-01,16.9,23.5,13.5,0.00,76
2017-07-02,16.0,22.5,12.2,0.00,81
2017-07-03,15.8,21.6,13.4,0.70,76
2017-07-04,16.3,21.7,12.5,0.00,73
2017-07-05,17.9,24.9,12.0,0.00,66
2017-07-06,18.9,25.3,14.8,0.00,67
2017-07-07,17.5,23.7,13.4,0.00,67
2017-07-08,16.9,22.8,13.3,0.00,73
2017-07-09,18.3,22.8,14.8,0.00,70
2017-07-10,17.5,21.7,15.1,0.10,74
2017-07-11,15.7,20.6,13.0,0.00,72
2017-07-12,16.6,22.1,12.5,0.00,70
2017-07-13,17.2,22.0,14.2,0.00,72
2017-07-14,16.8,21.9,12.8,0.00,69
2017-07-15,17.1,22.5,13.3,0.00,67
2017-07-16,16.3,20.2,14.1,0.00,66
2017-07-17,16.8,21.4,13.3,0.00,67
2017-07-18,17.9,23.6,12.6,0.00,62
2017-07-19,17.7,23.1,13.9,0.00,65
2017-07-20,18.6,23.2,15.4,0.20,66
2017-07-21,17.8,23.7,13.8,0.00,69
2017-07-22,19.1,26.4,15.4,0.00,73
2017-07-23,17.5,23.6,15.7,0.00,79
2017-07-24,17.5,22.4,13.5,0.00,74
2017-07-25,19.0,24.5,13.6,0.00,64
2017-07-26,18.7,24.9,13.7,0.00,72
2017-07-27,17.2,23.0,14.2,0.00,74
2017-07-28,16.8,22.6,13.1,0.00,74
2017-07-29,17.7,24.6,13.3,0.00,68
2017-07-30,18.6,24.7,15.4,0.00,77
2017-07-31,18.4,24.0,14.0,0.00,66
2017-08-01,20.0,25.8,14.9,0.00,58
2017-08-02,21.5,27.2,17.9,0.00,60
2017-08-03,22.6,28.9,17.6,0.00,60
2017-08-04,22.9,30.6,16.9,0.00,62
2017-08-05,20.6,29.8,15.9,0.00,75
2017-08-06,19.3,25.1,15.4,0.00,79
2017-08-07,19.2,25.1,14.8,0.00,79
2017-08-08,19.7,26.3,15.2,0.00,78
2017-08-09,20.3,27.1,15.5,0.00,78
2017-08-10,20.3,27.4,15.8,0.00,78
2017-08-11,20.0,25.8,15.8,0.00,78
2017-08-12,18.6,23.8,14.6,0.10,77
2017-08-13,17.8,22.3,15.6,4.70,80
2017-08-14,15.9,19.5,13.9,0.10,74
2017-08-15,16.7,21.6,12.5,0.00,71
2017-08-16,17.5,22.2,13.4,0.00,68
2017-08-17,17.9,23.4,15.6,0.20,76
2017-08-18,17.5,22.0,14.2,0.00,76
2017-08-19,16.6,21.2,13.5,3.00,78
2017-08-20,16.7,21.5,13.1,0.00,75
2017-08-21,17.5,22.6,14.0,0.00,79
2017-08-22,19.1,26.4,14.1,0.00,70
2017-08-23,19.2,26.4,15.7,0.00,78
2017-08-24,16.5,20.8,14.0,0.60,73
2017-08-25,16.5,21.0,12.3,0.00,71
2017-08-26,17.0,22.8,12.7,0.00,68
2017-08-27,18.9,24.5,15.0,0.00,64
2017-08-28,20.5,26.2,16.4,0.00,66
2017-08-29,21.4,29.3,16.5,0.00,67
2017-08-30,18.9,28.0,15.9,0.00,74
2017-08-31,18.4,21.5,16.4,0.50,79
2017-09-01,17.4,22.4,13.1,0.00,68
2017-09-02,19.8,26.7,14.9,0.00,59
2017-09-03,21.3,26.8,17.0,0.00,72
2017-09-04,21.7,26.5,18.2,0.00,67
2017-09-05,22.8,31.6,17.5,0.00,60
2017-09-06,21.7,27.8,17.9,0.00,69
2017-09-07,20.8,26.9,17.0,0.00,83
2017-09-08,18.7,21.5,17.3,1.10,89
2017-09-09,16.6,18.8,15.0,0.40,79
2017-09-10,16.2,19.6,13.4,0.10,82
2017-09-11,17.0,22.5,12.8,0.00,73
2017-09-12,17.7,23.3,15.1,0.00,82
2017-09-13,15.7,20.1,13.6,0.00,79
2017-09-14,16.1,20.5,13.3,0.00,70
2017-09-15,15.8,21.3,11.0,0.00,64
2017-09-16,17.2,23.5,13.3,0.00,63
2017-09-17,15.6,22.8,12.7,7.80,75
2017-09-18,13.3,15.8,11.8,8.50,83
2017-09-19,12.2,14.2,11.1,13.40,86
2017-09-20,11.9,14.1,10.6,4.50,85
2017-09-21,12.2,15.3,10.6,0.80,86
2017-09-22,13.6,17.1,10.0,0.00,80
2017-09-23,14.5,17.5,12.6,0.10,81
2017-09-24,14.1,18.9,10.1,0.00,81
2017-09-25,14.7,19.1,13.5,3.80,86
2017-09-26,15.4,18.3,12.7,0.50,90
2017-09-27,15.5,20.6,12.3,0.00,85
2017-09-28,17.3,25.3,11.1,0.00,74
2017-09-29,17.2,24.3,15.1,3.30,86
2017-09-30,13.8,17.3,12.0,0.70,82
2017-10-01,12.7,15.6,11.2,6.70,83
2017-10-02,12.1,15.9,9.3,0.20,84
2017-10-03,12.8,16.3,9.1,0.00,71
2017-10-04,12.4,16.5,7.9,0.00,74
2017-10-05,11.9,17.2,7.2,0.00,80
2017-10-06,12.6,17.2,9.4,0.00,78
2017-10-07,12.7,15.6,9.9,2.60,81
2017-10-08,10.6,14.0,8.2,0.90,88
2017-10-09,10.8,15.1,7.7,0.00,85
2017-10-10,11.1,15.3,9.0,0.90,82
2017-10-11,9.6,12.4,7.8,3.10,84
2017-10-12,9.0,10.6,7.9,4.80,85
2017-10-13,8.6,10.4,6.8,7.00,82
2017-10-14,8.1,11.5,5.6,0.00,79
2017-10-15,10.1,14.3,7.1,0.00,77
2017-10-16,10.5,15.3,7.4,2.40,86
2017-10-17,12.3,14.2,10.9,3.90,85
2017-10-18,10.7,14.3,9.1,19.90,86
2017-10-19,12.1,14.2,11.1,33.70,92
2017-10-20,9.9,11.4,8.8,7.60,89
2017-10-21,8.8,10.8,7.9,16.50,87
2017-10-22,12.5,14.6,8.9,22.10,87
2017-10-23,11.2,15.6,7.5,0.00,84
2017-10-24,11.1,15.0,8.1,0.00,86
2017-10-25,10.1,15.4,7.2,0.20,90
2017-10-26,11.1,12.4,10.1,0.60,89
2017-10-27,10.5,14.3,8.3,0.00,86
2017-10-28,11.6,15.6,8.4,0.00,82
2017-10-29,10.6,14.9,8.7,0.10,92
2017-10-30,11.2,14.2,5.9,0.00,73
2017-10-31,8.8,12.0,4.7,0.00,81
2017-11-01,10.3,11.6,8.3,0.30,84
2017-11-02,9.1,10.8,8.2,6.90,87
2017-11-03,4.9,8.0,2.0,9.10,83
2017-11-04,4.0,5.7,2.8,0.40,65
2017-11-05,3.9,5.1,2.9,13.00,86
2017-11-06,5.0,7.2,4.1,0.00,60
2017-11-07,4.9,7.5,2.2,0.00,65
2017-11-08,7.6,11.5,4.7,0.10,60
2017-11-09,7.9,10.4,5.0,5.90,79
2017-11-10,7.7,10.7,4.8,0.40,91
2017-11-11,7.2,10.4,4.3,1.60,89
2017-11-12,9.1,10.9,8.2,17.50,85
2017-11-13,9.7,10.9,9.0,17.00,83
2017-11-14,8.3,9.9,7.5,13.20,86
2017-11-15,9.2,11.7,7.2,23.80,76
2017-11-16,7.1,8.4,6.3,1.20,87
2017-11-17,6.7,9.4,5.1,1.70,86
2017-11-18,7.7,10.0,6.5,0.00,85
2017-11-19,7.9,10.1,6.4,0.10,72
2017-11-20,8.2,9.8,4.6,31.20,88
2017-11-21,6.5,10.5,4.2,18.30,90
2017-11-22,12.9,16.2,10.4,19.70,94
2017-11-23,13.2,15.9,11.2,19.80,92
