name,taxid,ERR14789282,ERR14789283,ERR14789284,ERR14789285,ERR14789286,ERR14789287,ERR14789288,ERR14789289,ERR14789290,ERR14789291,ERR14789292,ERR14789293,ERR14789294,ERR14789295,ERR14789296,ERR14789297
                  Varicellovirus,10319,,,,,,,,,,,0.02,,,,,
                  Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,
                  Mastadenovirus,10509,,0.34,,0.28,0.9,18.36,,0.29,0.12,0.44,9.99,,0.93,0.28,,
                  Tequatrovirus,10663,,,,,,,,,,,0.02,,,,,
                  Dependoparvovirus,10803,,,0.12,,,,,,,,,,,,0.13,
                    Morbillivirus,11229,,,,,,,,,,,0.04,,,,,
                  Orthobunyavirus,11572,,,,,,,,,,,0.02,,,,,
                  Enterovirus,12059,,,,0.58,0.45,,,,,,0.02,,,,,0.08
                Sobemovirus,12137,,,,,0.19,,,,0.68,,,0.32,,,,0.47
                  Carlavirus,12163,,,,,,,,,,,,,,0.08,,
                Tobamovirus,12234,5.86,0.81,0.96,1.17,2.74,0.21,6.17,3.95,4.38,35.07,0.19,4.03,27.52,3.21,0.7,3.82
                  Comovirus,12258,,,0.37,,0.29,,,,,,,,,,0.35,
                  Teseptimavirus,110456,,,,,0.36,0.58,,,,0.21,0.65,,,,,
                Allexivirus,140568,,,,,,,,,,,,,,,,0.1
                Norovirus,142786,,0.39,0.42,,1.65,,,,,,0.02,,,,0.31,
                Cripavirus,144051,,,,,0.27,,,,,,0.03,,,,,
                Chlorovirus,181083,,,,,,,,,,,0.03,,,,,
              Ceduovirus,186532,,0.15,,,,,,,,0.12,0.09,,,,,
              Fromanvirus,186764,,,,,,,,,,,0.04,0.23,,0.09,,
              Punavirus,186789,,,,,,,,,,,0.04,,,,,
              Lederbergvirus,186794,,,,,,,,,,0.22,,,,,,
                  Tunavirus,187217,,,,0.28,,,,,,0.32,,,,,,
                  Tequintavirus,187218,,,,,,,,,,,0.04,,,,,
                  Kobuvirus,194960,2.12,,,,,,,,,,,,,,,
                Mamastrovirus,249588,,0.63,0.48,0.5,2.51,0.24,,0.16,0.61,,0.24,,2.41,,0.35,0.54
                  Mimivirus,315393,,,,,,,,,,0.09,0.04,,,,,
              Rauchvirus,542959,,,0.14,,,,,,,0.08,0.07,,,,0.06,0.12
              Uetakevirus,542960,,,,,,,,,,,0.07,,,,,
                  Percavirus,548688,,,0.12,,,,,,,,,,,,,
            Alphabaculovirus,558016,,,,,,0.22,,,0.15,0.07,0.13,,,,0.08,0.15
            Betabaculovirus,558017,,,,,,,,,,,0.02,,,,,
              Bixzunavirus,680114,,,,,,,,,,,0.02,,,,,
                Kuravirus,680277,0.56,,0.18,,0.18,,,0.19,0.44,0.23,0.05,,0.32,0.08,0.24,0.43
                  Salivirus,688449,8.43,,,,,,,,,,,,,0.07,,0.1
                    Betacoronavirus,694002,0.56,,,,,,,,,,,,,,,
                Cyclovirus,742914,5.47,31.23,18.74,21.95,19.54,2.79,9.73,30.71,15.32,18.38,3.84,41.75,28.89,25.74,12.0,22.21
                  Felixounavirus,1198140,,,,,,1.08,,,,,1.44,0.47,,,,0.08
                  Yuavirus,1299429,,,,,,,,,,,0.04,,,,,
                  Hunnivirus,1431456,,,,,,,,0.1,,,,,,0.09,,
                  Bocaparvovirus,1507401,,,,,0.72,,,3.48,,0.08,,,,2.86,,
                Gemycircularvirus,1542744,1.34,,0.1,,,,0.69,,,,,,,0.06,0.08,
              Bignuzvirus,1623277,,,,,,,,,,,0.01,,,,,
                  Bronvirus,1623278,,,,,,,,,,,0.04,,,,,
              Charlievirus,1623280,,,,,,,,,,,0.02,,,,,
              Cheoctovirus,1623281,,,,,,0.41,,,0.48,0.24,0.15,,,,,0.3
                Chivirus,1623283,,,0.08,,,,,,0.52,,,,,,,0.26
              Corndogvirus,1623285,,,,,,,,,,,0.02,,,,,
              Liefievirus,1623288,,,,,,,,,,,0.02,,,,,
              Dhillonvirus,1623289,,,,,,0.17,,,0.16,,0.12,,,,,0.08
                Brussowvirus,1623303,,,0.35,0.34,,,,,,,0.08,,,0.11,0.19,
                Moineauvirus,1623304,,,,,,,,,,,0.06,,,,,
              Skunavirus,1623305,,0.36,0.33,0.36,0.29,0.22,0.7,0.14,0.13,0.15,0.21,0.38,0.12,0.08,0.28,0.17
                  Mammarenavirus,1653394,,,,,,,,,,,,,,,0.08,
