name,taxid,ERR14789028,ERR14789029,ERR14789030,ERR14789031,ERR14789032,ERR14789033,ERR14789038,ERR14789039,ERR14789040,ERR14789041,ERR14789042,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382
                  Mastadenovirus,10509,2.45,2.05,1.84,5.26,4.39,1.81,0.08,6.29,1.14,1.96,2.51,,,,,,,,,,
                  Aviadenovirus,10552,0.06,0.26,,0.03,0.04,0.13,0.04,,,0.11,,,,,,,,,,,
                  Dependoparvovirus,10803,0.31,0.07,0.13,0.08,0.53,0.34,0.12,0.21,0.11,0.21,0.05,,,,,0.27,,,,,
                Rotavirus,10912,,,,,0.13,,,,0.02,,,,,,,,,,,,
                Marafivirus,12051,0.07,,,,0.09,0.08,,,,,,0.22,0.6,0.34,0.48,1.03,,,0.3,,
                  Enterovirus,12059,5.86,0.95,1.45,1.66,5.15,2.1,2.62,4.81,1.7,5.38,1.36,,,,,,,,,,
                  Hepatovirus,12091,2.51,0.79,1.55,1.15,1.66,,0.12,4.83,0.44,2.0,1.12,,,,,,,,,,
                  Cardiovirus,12103,1.43,1.35,1.12,1.91,2.2,1.03,0.73,4.73,0.38,1.24,1.23,,,,,,,,,,
                Sobemovirus,12137,0.04,,,,,,0.01,,,0.15,,0.77,1.88,1.4,1.63,0.99,0.86,,1.3,1.77,0.41
                  Tombusvirus,12141,0.98,0.38,0.81,0.4,0.66,1.29,0.1,0.41,0.07,1.78,0.42,10.75,16.22,19.7,17.46,21.6,5.27,4.95,18.52,21.62,18.55
                Tymovirus,12148,0.04,,,,,0.04,,,,0.14,,0.62,0.38,0.56,,0.87,,,0.68,1.5,
                  Carlavirus,12163,0.08,,,,,0.05,,,,,,0.25,,0.41,0.52,0.47,,,0.37,,
                Potexvirus,12176,0.09,,0.04,,,0.09,,,,0.18,0.04,0.68,0.64,1.2,0.86,1.79,0.42,,1.05,1.72,2.84
                Tobamovirus,12234,2.15,0.63,1.37,0.46,0.62,1.64,0.42,0.64,0.19,1.16,0.65,30.08,26.23,35.23,18.71,19.62,18.64,6.29,39.01,16.52,26.34
                  Comovirus,12258,0.04,,,,,,,,,,,0.17,0.6,1.09,,0.64,,,0.93,,
                  Machlomovirus,39739,,,,,,,,,,,,,,,,,,,0.27,,
                Sapovirus,95341,2.18,1.54,2.54,1.34,0.55,2.28,0.56,0.5,0.49,1.81,2.11,,,,,,,,,,
                  Teschovirus,118139,,,,0.12,0.21,,,,,,,,,,,,,,,,
                  Parechovirus,138954,0.68,0.02,0.06,0.03,0.22,0.62,0.51,1.66,0.02,0.59,0.31,,,,,,,,,,
